protein	PRKD1
family	MEK1/2
protein	GNAS
protein	PPM1A
protein	IKBKB
protein	INSR
protein	SEMA3C
protein	IRAK4
protein	JAK3
protein	KIT
protein	TFAP4
protein	CBLB
protein	MAP2K3
protein	BMP4
protein	NUAK1
protein	FSTL3
complex	AMPK
protein	SKI
protein	CDON
protein	CD79B
protein	TRAF6
protein	MAP3K7
family	PAK
protein	GATA3
protein	MAP4K5
protein	PTEN
protein	WNT11
protein	IL4
protein	SOSTDC1
protein	VAV1
protein	DIABLO
protein	PPP5C
protein	Prostaglandin E2
complex	CBP/p300
protein	SGK1
protein	PLCE1
protein	UBE2N
protein	HIP1
protein	MYOD1
protein	MET
protein	ULK1
protein	WNT5A
protein	XIAP
protein	MAP3K4
complex	IKK-complex
protein	TDGF1
protein	KRAS
protein	cAMP
protein	RNF111
protein	BIRC5
protein	PRKCI
protein	KAT5
protein	PAK2
protein	PIK3CG
protein	MDM2
protein	RELA
protein	LATS2
protein	SMAD6
protein	SIK2
protein	FZD5
protein	FHL2
protein	PLAG1
protein	BMPR1B
protein	ELF4
protein	GLI1
protein	CAMK1
protein	ZAP70
protein	MEF2C
protein	NFKB1
protein	USP6
protein	RIPK2
protein	MAPK6
protein	MAP3K8
protein	DUSP6
protein	RPS6KB1
protein	SH2B3
protein	NFIB
protein	RASSF1
protein	GNG3
protein	KLF15
protein	GCG
protein	IFNGR2
protein	RARB
protein	FZD3
protein	IRS2
protein	NR4A1
protein	BAK1
protein	SMAD4
protein	IGF2
protein	NCK1
protein	RIN1
protein	KREMEN2
protein	RIPK1
protein	RAF1
protein	TGFBR1
protein	IRS1
protein	TNFRSF1A
protein	PTPN22
protein	TNFRSF1B
protein	SPEN
protein	MARK2
protein	FASLG
protein	FLT4
protein	RXRA
protein	HRAS
protein	PPP2R5C
protein	SOS1
protein	MCL1
protein	MAPK7
protein	ACP1
protein	RASA1
protein	MAP3K14
protein	NPM1
protein	GRB2
protein	LAT
protein	FLT3
protein	PPARGC1A
protein	GADD45A
protein	CDK7
protein	SFRP1
protein	SOX17
protein	IL1R1
protein	MYD88
protein	IRAK1
protein	arachidonic acid
protein	BRAF
protein	SIRT1
protein	LTBR
protein	ERBB2
protein	KITLG
protein	CYP19A1
protein	BMPR1A
protein	HEY2
protein	FBXW7
protein	CCND1
protein	TNFAIP3
protein	RPS6KA5
protein	CDH1
protein	CTNNA1
protein	IKBKG
protein	PLA2G4A
protein	RNF11
protein	GAB1
protein	DHH
protein	PSTPIP1
protein	CAMK4
protein	VHL
protein	LATS1
protein	RET
protein	HSP90AB1
protein	CASP8
protein	SMAD2
complex	CyclinE/CDK2
protein	PRRX1
protein	BCL2L1
protein	SYK
protein	AR
protein	SPRY2
protein	LRP5
protein	ADCY1
protein	CD19
protein	CDC25B
complex	SUZ12/EZH2
protein	DUSP16
protein	HTRA2
protein	MAP3K3
protein	IL22
protein	CEBPA
protein	MKNK1
protein	NCOA3
protein	NCOA2
protein	EZH2
protein	NKX3-1
protein	ERG
protein	TEC
protein	PLCG1
protein	Diacylglycerol
protein	MYOG
family	Frizzled
protein	GRIN2A
protein	RUNX1
protein	CAPN1
protein	CAPN2
protein	CALM1
protein	NOS3
protein	PRKCQ
protein	alpha-ketoglutarate
protein	KMT2A
protein	MECOM
complex	Calcineurin
protein	IGF1
protein	RCAN1
protein	CBFB
protein	PtsIns(3,4,5)P3
protein	BCL2
protein	estradiol
protein	AIFM1
protein	NAMPT
protein	BID
protein	LRIG3
protein	RALA
protein	PEA15
protein	PIK3C2A
protein	PIK3R1
protein	CEBPB
protein	EGR2
protein	YY1
protein	CLK2
protein	HDAC8
protein	DEPTOR
protein	HSPA1A
protein	PELP1
protein	POMC
protein	MC1R
protein	EDN1
protein	JUN
protein	FST
protein	HIF1A
protein	HNF1A
protein	IRF3
protein	LEF1
protein	CCL3
protein	NFATC1
protein	NFATC3
protein	PPP3CB
protein	PPP3CC
protein	SP1
protein	SP3
protein	STAT3
protein	TPSAB1
protein	NOD2
protein	HBB
protein	HBA1
protein	ACVR1B
protein	AHSP
protein	EPO
protein	KLF1
protein	ETV6
protein	HMOX1
protein	HMOX2
protein	EIF2S1
protein	CEBPD
protein	SREBF1
protein	TRPS1
protein	GDF5
protein	ASH2L
protein	TBX1
protein	PITX2
protein	PAX6
protein	KRT1
protein	FBN1
protein	ITGA6
protein	ITGB4
protein	PMP22
protein	PRL
protein	KRT14
protein	HSP90AA1
protein	HSPA1B
protein	heme
protein	NODAL
protein	FGG
protein	SUFU
protein	IL1RAP
protein	TOLLIP
complex	mTORC2
protein	CDR2
protein	CDC20
protein	SLK
protein	GDF11
complex	APC
protein	FKBP4
protein	INCENP
protein	TIRAP
protein	ERRFI1
complex	SMAD1/4
complex	SMAD5/SMAD4
complex	SMAD8/SMAD4
protein	TGFA
protein	FOS
protein	ABCA1
protein	APOA1
protein	MPO
protein	CTNND2
protein	ENPP1
protein	DNMT3A
protein	INPP5D
protein	PIP2(16:0/18:1(9Z))
protein	PIN1
protein	SNAI1
protein	AGT
protein	REN
protein	BRCA1
protein	TTC3
complex	GSK3B/Axin/APC
protein	FBXO5
protein	CRKL
complex	SMAD1/5/8/SMAD4
protein	WNK1
complex	mTORC1
family	SMAD1/5/8
protein	PERP
protein	WNT7A
protein	FN1
protein	SKIL
protein	PPP1CC
protein	SIK3
protein	SGK3
protein	VAV2
protein	PRKG1
protein	ROR1
protein	ACVR2B
protein	PTPRC
protein	DYRK1B
protein	CDK11B
protein	CTBP1
protein	IL4R
protein	ILK
protein	PIK3C3
protein	POU5F1
protein	TRIB3
protein	FZD7
protein	CARM1
protein	HGF
protein	ERBB3
protein	ERBB4
protein	GAB2
complex	PI3K
protein	TET2
protein	PIK3R3
protein	WT1
protein	PAX2
protein	PTK2
protein	TEK
protein	CCNA1
protein	ARHGEF7
family	RPS6K
complex	AMOT/MPP5/INADL/LIN7C
protein	NDN
protein	CASP9
complex	NfKb-p65/p50
protein	ASXL1
family	FOXO
protein	DDIT3
protein	BCL2L2
protein	CDC42
protein	PKN1
protein	SGK2
protein	NCOA1
complex	AP1
protein	SPRY4
protein	TNFSF11
protein	TNFRSF11A
protein	SOCS3
protein	SH2B1
protein	MC4R
protein	MC3R
protein	GCGR
protein	CDH4
protein	RHOA
protein	DIAPH1
protein	PFN1
protein	WNT1
protein	SREBF2
protein	ERN1
protein	GATA6
protein	NANOG
protein	KLF10
protein	ALK
complex	Laminin-5
protein	ID1
protein	MAX
protein	MMP2
protein	VCAM1
complex	a7/b1 integrin
family	SMURF
complex	SMAD3/SMAD4
protein	GRB10
protein	TGFBI
complex	A6/b1 integrin
complex	A4/b1 integrin
complex	A5/b1 integrin
protein	CAMK2D
protein	SPP1
protein	TSC22D3
protein	VTN
complex	A8/b1 integrin
complex	A9/b1 integrin
protein	MMP3
protein	TCF4
protein	TRPC6
protein	NPNT
protein	ICAM3
protein	TLN1
complex	AIIB/b3 integrin
protein	DEF6
complex	AD/b2 integrin
protein	SNTA1
protein	EID1
protein	SRF
protein	PTGS2
protein	MAGEL2
protein	CLOCK
protein	ARNTL
protein	DVL1
complex	SETDB1/NLK/CHD7
protein	GATA2
protein	MAML2
protein	PTCH1
protein	MN1
protein	INHBA
complex	TCR
protein	CAMKK1
protein	PPP2R2A
protein	NUMB
protein	AXIN1
protein	BBC3
protein	SMURF1
protein	NOTCH1
protein	SMAD1
protein	GOLPH3
protein	GNAI2
protein	CFLAR
protein	SOS2
protein	HDAC4
protein	CAMKK2
protein	SHC3
protein	KAT2B
protein	SOST
protein	DKK1
protein	HBEGF
protein	GNAI3
protein	RPS6KA4
protein	SH2B2
protein	SPI1
complex	PRC2
protein	NAB2
protein	ZFP36
protein	GFI1
protein	HEY1
protein	FLI1
protein	GATA1
protein	SNW1
protein	ZFPM1
protein	NF1
protein	NKX2-5
complex	CLOCK/ARNTL
protein	NR1H2
protein	NR1H3
protein	ARNT
protein	PEBP1
protein	BHLHE41
protein	BHLHE40
protein	NR1D1
protein	ATF4
protein	NUPR1
protein	IDH1
protein	MTA1
protein	BCL3
protein	ESRRA
protein	NOTCH4
protein	PRDM16
protein	CTCF
protein	PRDM1
protein	FGF10
protein	prostaglandin E2(1-)
protein	TFDP1
protein	EGR1
protein	RASGEF1B
protein	BCAR1
protein	TRAF3
protein	TAL1
protein	LYL1
