#Treatment	Dose	Effect
BI-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.138286212377342|0.640621016882252|0.942816966598492|0.933066588037108|0.9489209385268
CT-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0942443978176988|0.891578694284011|0.931788790021829|1.00207066529258|0.966181957991444
CT-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0849195194361859|0.851122872537047|0.944248793347604|0.947807583824874|0.983717474402658
CT-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.10416867912391|0.912045976377025|0.898713336567418|0.992394238516256|0.951139484251881
CT-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0702129082457494|0.841956203976651|0.913905752248556|0.911625616077295|1.02758985997544
PD-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0282841055211049|0.245971891778833|0.33151348486325|0.425526048710459|0.527073117977995
PD-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0177643197197259|0.259985596497525|0.328390349177978|0.406240567013127|0.506390068713739
PD-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0265301346484243|0.268438386502052|0.319512320416446|0.387435857919942|0.507008681655508
PD-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.0166989160773301|0.252483775407113|0.308475601751172|0.418386159580358|0.501433243719927
PI-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.436680758930565|0.862374138141197|0.983148420141759|1.00886448858116|1.02967582160956
PI-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.318904351625116|0.864319618820957|0.930977676454011|0.979305733737073|0.954096552323413
PI-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.457840012618328|0.945788758171244|0.947025554618083|0.987944990098118|1.05743091840899
PI-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.440945473299968|0.905985944584509|0.9257095931841|1.02580998900904|1.01684697022425
PK-P5	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000803135095210948|0.00128119169950318|0.00254326113483467|0.928534123082844|1.03020242111767
