PK	10|2|0.4|0.08|0.016	0.000861759425493716|0.00276481149012567|0.0622262118491921|0.814973070017953|0.918078994614004
PK	10|2|0.4|0.08|0.016	0.00071291716793655|0.00384975270685737|0.0581383950452257|0.788022991578666|0.978478812992915
PK	10|2|0.4|0.08|0.016	0.000784208884730205|0.00281602281334937|0.071808581740409|0.830477208929288|0.970494140712026
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000393767730734466|0.0115266553905907|0.0593873332080436|0.79034553118372|1.01500792010095
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00035797066430406|0.00687303675463796|0.0616783454595896|0.702016269766693|1.00485945176793
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000782505414658003|0.0105824541791844|0.0558932439041431|0.749640187242367|0.999725191550805
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000260835138219334|0.00760148117096346|0.0576073033838701|0.677575164768625|0.965965672232702
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000996686938786811|0.00394983342408106|0.0657444236288633|0.935482977879087|0.996317795476149
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000701372290257385|0.00372834743768399|0.0596904733340101|0.891111951937541|1.03987670613424
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00161629519427685|0.00731006235593392|0.060390665895253|0.866664829967582|0.995637839674537
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000440807780257322|0.00205710297453417|0.0575988832869567|0.840142895188767|0.994664389159802
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00150512780147671|0.00568262537292229|0.0610805435354377|0.860103746309173|0.97460096835008
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00190444742227666|0.00304097249686112|0.071785381062267|1.02904666280146|1.05610824633413
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00108839306538133|0.00534867449273109|0.0670761097722149|0.821410246443287|0.869144056596439
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00111949001010651|0.00609500116613543|0.0692839928477027|0.943434657544896|1.06653191323952
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000693551852424228|0.00364868583231876|0.085080719635433|0.86268804113064|1.01731994979288
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000964941707720664|0.00533733382082993|0.0983185136882258|0.927188363406093|1.01346018296199
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000551361900167222|0.00708064756004222|0.0850983564337042|0.920962997087213|0.95516194442127
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000580380947544445|0.00426579996445167|0.0840536707281242|0.962837482452545|1.00241946307508
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000699446904757379|0.00322353790888184|0.0343185144355958|0.393712580540931|0.623313629711288
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000456161024841769|0.00225039438921939|0.0358086404500789|0.353083838595024|0.660201851253493
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000410449086553451|0.00170494235952972|0.0333253085274744|0.401403420145946|0.564730583587562
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000315730066579578|0.00353617674569127|0.0321097477711431|0.390858035922188|0.629739404296297
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000884925632211293|0.00370988053503965|0.0727000442462816|1.06068547700895|1.15826554576087
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000306320411150063|0.00466287736972874|0.0708451039787618|0.895238419386678|0.965555971546237
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.000768257016892924|0.00506351215679427|0.0697891658300231|0.956427604871448|1.04495176568161
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.016-0.016	0.00146667248679558|0.00460954210135755|0.0640272382033262|0.898319437775547|1.10522502073421
