#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.02	0.11023653611034|0.341498472436571|0.462191731400806|0.894227327780466|0.922024114600185
5Z	10|2|0.4|0.08|0.02	0.279204808030946|0.264647858691077|0.487869686097884|0.833537103900083|0.910513702258274
AK	10|2|0.4|0.08|0.02	0.930569556451613|0.903855846774194|0.967515120967742|1.02570564516129|1.04091481854839
AK	10|2|0.4|0.08|0.02	0.913772681451613|0.884097782258065|0.89719002016129|0.918334173387097|0.995539314516129
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0863211217243035|0.321790520966113|0.40484049861771|0.65205688082507|0.995288625490423
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.3815716721572|0.266313506712798|0.427791481119738|0.719161686559505|0.893300445312629
BI	10|2|0.4|0.08|0.02	0.825762613750306|1.01436501400666|1.05575444750344|0.972520751570366|0.976393688903897
BI	10|2|0.4|0.08|0.02	0.957428700395219|0.974147109596546|1.0044276908128|0.948704254373421|1.01714911842436
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.730723590352129|0.899681337582166|0.986746843375422|0.956840575458994|1.00038666151118
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.808269223077026|0.771376381648245|0.9885601525313|0.866775109665204|0.913107825228997
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0755123301846556|0.13592219433238|0.500073414765457|0.72242925962957|0.949120071596876
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.256713955098131|0.0368472203771421|0.38431580934535|0.633324710011676|0.943400711773631
CT	10|2|0.4|0.08|0.02	0.837534252066577|0.911979705024209|1.017634982491|0.963621943083588|1.02535440330538
CT	10|2|0.4|0.08|0.02	0.581739675704154|0.859111980277682|0.942834481988495|0.944541000833216|1.00367359677479
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.215826612903226|0.182447076612903|0.442149697580645|0.689112903225806|0.965108366935484
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.2484375|0.0626008064516129|0.424004536290323|0.666343245967742|0.958480342741935
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.889684970284901|0.927468670849405|0.902570894101677|1.00996242157366|1.05741387587531
