#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.02	0.415124698310539|0.780430561520454|0.902733503106116|0.878229362626195|0.982240395840768
5Z	10|2|0.4|0.08|0.02	0.616371983861504|0.684071401351327|0.873190619348048|0.956943847954561|0.989765241744748
AK	10|2|0.4|0.08|0.02	1.10597093376475|0.99664147774979|0.999836169646331|1.09944502467695|1.09774528475763
AK	10|2|0.4|0.08|0.02	0.993241997911163|1.03189230884752|0.997351409282355|1.03339408708949|1.03101854696129
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.445376424434896|0.761479544180833|0.81470203624136|0.838072109097702|1.00735413163958
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.795560122049941|0.761099694875148|0.754723208169874|0.829665608070241|0.876499159349897
BI	10|2|0.4|0.08|0.02	1.10840750664647|1.03654039091176|1.06762276197713|1.06348447359407|1.07850054858403
BI	10|2|0.4|0.08|0.02	1.07642792683923|0.954977856679597|1.08039929266567|0.952995651319644|1.00361491661697
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.959054192883471|1.01510153575496|1.01401840017593|0.982075747281494|1.059825188482
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.958988548302923|0.945669262909827|0.987406087221954|0.944861834569093|0.983913795536825
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.503585884702484|0.786298389828997|0.895732957686204|0.892059699363421|1.0400527807992
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.876425170735187|0.44910040833794|0.869884631158503|0.871760489292274|1.01474652734438
CT	10|2|0.4|0.08|0.02	0.804456837992003|0.960639732880068|1.02230838560601|1.00814788378831|1.04051560921612
CT	10|2|0.4|0.08|0.02	0.69873396282339|0.81653651425426|0.926239573188805|0.911643549743224|1.02657891712386
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.637006546387882|0.553220973015776|0.79302082693371|0.942031359860198|1.08842060712799
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.709890574976279|0.398844996006635|0.745271105103998|0.863160697098155|0.951553999167196
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.888710380472009|0.903580546733919|0.846578242729933|0.974892583597982|0.982072358179214
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.786331652033128|0.830979513045644|0.861772214957345|0.93063079892895|0.892129024223177
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.981129057217923|0.913803626044787|0.977498491611272|0.974403469207135|1.07705388642659
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.826183194028346|0.943383694100505|0.948280089094915|0.997390096276062|0.956424518837037
PD	10|2|0.4|0.08|0.02	0.753941136504623|0.801815729097945|0.790019397973552|0.844143354635|0.917842525215725
PD	10|2|0.4|0.08|0.02	0.676119486265513|0.797023674717974|0.789540192535555|0.760098598159982|0.887370310925556
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.715515058575988|0.647399297444767|0.798844528449921|0.829885344412546|0.880776020399066
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.883814482623348|0.582757083504217|0.777147340453986|0.757226155025766|0.787496656621672
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.926526133654069|0.915841967180829|0.914428196633679|0.806819860311029|0.88355735617874
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.873893073931056|0.916840750353443|0.840757387126951|0.864292094842199|0.820085388927574
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.879315877474962|0.845530103004952|0.813913643980806|0.929307714393483|0.887730419394731
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.888646185776722|0.832281515593362|0.792235502085808|0.816127997117588|0.914167543963354
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.808107973504657|0.911826855349939|0.914373937233641|0.829502038376982|0.884278528384311
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.71868263217434|0.813621907750101|0.847381414839954|0.830362923594658|0.797798695154141
PI	10|2|0.4|0.08|0.02	0.688911376639552|0.693924415210369|0.831642859922936|1.00843031175807|1.03088779044876
PI	10|2|0.4|0.08|0.02	0.691176585062079|0.677779940061495|0.734534698166816|1.00386875802748|0.933032343439847
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.457523491272558|0.496225871080783|0.729416026555673|0.82573948529901|1.08215846166357
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.793106762381435|0.389219520489713|0.667595720928857|0.849116166283463|1.05132963190229
