#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.02	0.424426679425583|0.92934750104663|0.867466757042324|1.0330136958992|1.00309005003887
5Z	10|2|0.4|0.08|0.02	0.427111368061509|0.84492600493079|0.958526876790069|1.07558328847777|1.0313390881362
5Z	10|2|0.4|0.08|0.02	0.445186279072324|0.938808414896463|1.11298401961179|1.11129107318879|1.12182984789133
5Z	10|2|0.4|0.08|0.02	0.425032154988879|0.948049996885272|1.01839155432269|1.04830760323492|1.20893230779378
AK	10|2|0.4|0.08|0.02	1.07961960516141|1.05608139631492|1.03881279997955|1.02584537512223|0.952450645175722
AK	10|2|0.4|0.08|0.02	1.04167598693671|1.03439658973982|1.0362947293074|1.06651157737315|0.990279224638746
AK	10|2|0.4|0.08|0.02	1.04525508152387|1.04331331217467|1.00674652700453|1.05502160458719|1.02142194551831
AK	10|2|0.4|0.08|0.02	1.04824143306423|1.06563404697095|1.04691487776626|1.08985169175853|0.990565115761175
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.380568687906817|0.861616992120589|0.973025008564577|1.01960945529291|0.899397053785543
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.360465912983899|0.824309695101062|0.949434737923947|1.08023980815348|0.987639602603631
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.360574744664212|0.796768487720723|0.961619918037464|1.0064073088296|0.970346477993965
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.343900302408866|0.812328615397008|0.975521999322013|0.938904011196848|0.963318240859768
BI	10|2|0.4|0.08|0.02	1.0920178794708|1.14501239134178|1.15568167354243|1.18041194660118|1.04105240302184
BI	10|2|0.4|0.08|0.02	1.12270797613076|1.07983617972312|1.03845433921579|1.03065266058206|1.06372369179626
BI	10|2|0.4|0.08|0.02	1.02578290471758|1.0867882767668|1.01948009117093|1.05025394475511|1.02214779364882
BI	10|2|0.4|0.08|0.02	1.03066392078976|1.04112219396542|1.02905157313829|1.03819798163389|1.02065270764473
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.639683190800348|1.00224141124098|1.06710560248961|1.04864122015851|1.05032357670386
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.728515770361793|0.99576814634425|1.05962153901008|1.02647288411644|1.04538035623727
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.659450933861008|1.00595804408301|1.08197646445974|1.04207529491776|1.0494405515984
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.716101189076557|1.03312556749737|1.05959852839567|1.05943935781907|1.06880148173337
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.406578949649091|0.856712501148318|0.920643889823913|0.999925467690244|0.977239912571867
