#Treatment	Dose	Effect
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00184285736596336|0.0113655885430495|0.33258109353282|0.939560525370524|0.962646999109806
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00124158610672955|0.0487185894332433|0.201015914166576|0.873799409660945|0.952351204885134
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0011900804740624|0.00549899253532282|0.446645409367164|0.972496829871841|0.960784796516758
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00116545811942663|0.00535946585905344|0.246141471842286|0.942740714294508|0.905926190388254
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00324325473151759|0.0214955952520111|0.658406214467126|1.09084726310532|1.09523394578281
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00639724557134204|0.0101888356375461|0.397628130877868|1.02459220216146|0.979836987131122
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000960133542225458|0.00863323396681563|0.443577712551555|1.09121368250057|1.04367312831229
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00177286069000136|0.00507954467359942|0.175202459694809|1.0208809125651|0.954480307800487
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00112557185142065|0.0110584533443699|0.2365248065786|0.866373154144357|0.930294805060432
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00129576140971105|0.00666446838487208|0.133026347470993|0.795562694062028|0.866446645089983
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00142428426449002|0.0108846678194513|0.636816223773787|1.09047036225603|1.07911093301508
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00201664713901798|0.00835841438396439|0.177582549686614|1.02571551772951|1.03533270322184
JN	10|2|0.4|0.08|0.02	0.408912776202999|0.790004610498275|1.01115484443837|1.01559031453844|1.02849544072948
JN	10|2|0.4|0.08|0.02	0.354043577746662|0.779648065298316|0.978330658105939|0.969361531368464|0.942488302995116
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0971067463706234|0.349299174494734|0.834577853686308|1.02280216339311|1.03459379447765
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0776680899516083|0.306477654426416|0.701249074864788|0.967929405066894|0.98265414175918
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.152977057054504|0.535583350158868|0.897114863500632|0.974799953242723|1.04998565401741
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.183654081166382|0.619750698702486|0.813835903212437|0.930665334792727|0.86847390625166
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.429976484696129|0.764716486708027|0.890143392558168|0.946153838492391|1.00390925742037
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.40417638171085|0.688324118773698|0.849825751697913|0.916608816296773|0.939333304781644
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.308217158008434|0.683666927430592|0.882788710630369|0.885840518846076|0.916733791620292
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.351739269596699|0.70900583189333|0.822738872165401|0.872743658746728|0.87787255316248
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.190993470941552|0.334567422655267|0.911942645335796|0.838276224035124|0.905012870825693
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.130533257255356|0.335264320154711|0.721036286581674|0.891523548602067|0.86319030964027
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0267750418360029|0.559970629418394|0.938197978211127|1.00409822068918|0.958919606570814
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0349373313752946|0.4074741299819|0.847951743451385|0.983235715993306|0.896186947167105
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00225448334756618|0.0273361799032166|0.304455451181326|0.992769712496442|1.03655223455736
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00134358098491318|0.0207048107031028|0.197278679191574|0.877044121833191|1.01700882436664
D1	10|2|0.4|0.08|0.02	0.34247508709585|0.841219510433445|1.05054809592943|0.979277567913094|0.985123282460208
D1	10|2|0.4|0.08|0.02	0.203733263993721|0.695842271642747|0.937307841395267|1.00530399882508|0.987747594180288
5Z-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.232790792918904|0.238197790263723|0.820814408842626|0.940858953297348|0.908499799826056
5Z-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.234079268881925|0.138497360925126|0.804584213408433|0.89979338367593|0.848093285659723
