#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.02	0.531137823151655|0.890943520500576|0.975843899226083|1.0629836983369|0.93969207969702
5Z	10|2|0.4|0.08|0.02	0.572978758438992|0.901473736209452|1.0203359130578|1.12091223448049|1.02384324057303
5Z	10|2|0.4|0.08|0.02	0.548154148426459|0.978008341663507|1.10818310296095|1.12419427113853|1.0067732928889
5Z	10|2|0.4|0.08|0.02	0.591810003102271|1.00621316052532|1.1116473061942|1.09910034124987|1.10919995863638
AK	10|2|0.4|0.08|0.02	1.1904803959913|1.11679977121998|1.13717969745524|1.04609665114832|1.03200817552138
AK	10|2|0.4|0.08|0.02	1.11505027693317|1.13073684830286|1.15152891501916|1.07624178347485|1.03555763027634
AK	10|2|0.4|0.08|0.02	1.08851582509969|1.09364245238614|1.05679430936221|1.0193348832755|1.05388460198341
AK	10|2|0.4|0.08|0.02	1.10931575011563|1.03802384411467|1.13754072673406|1.04635359465005|1.00810357580216
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.455720478832533|0.964319483346119|1.13703994433839|1.07908586516333|1.06305639305657
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.470750896472981|0.918478939575045|1.09498153533263|1.10821900701122|1.01047223163791
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.442421902525575|0.896557107624406|1.03131072108964|1.01678723857626|0.954971718872299
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.499528472059596|0.873738108951436|1.04178349377942|1.05560654105247|0.950119306062773
BI	10|2|0.4|0.08|0.02	1.17914227391773|1.18844361423509|1.1045004621784|1.0491449699584|1.08721691572947
BI	10|2|0.4|0.08|0.02	1.20621822523494|1.1379795100909|1.09588276074565|1.03037860114004|0.960137112925589
BI	10|2|0.4|0.08|0.02	1.143621857791|1.14567353200379|1.05430874899165|1.11676357718725|0.99422267193263
BI	10|2|0.4|0.08|0.02	1.20213187602292|1.15984873565577|1.02801001590048|1.05163224672315|0.986566196802186
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.675278640599306|1.09682989219806|1.11486387721542|1.0949844692125|1.05835008222182
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.719852000730861|1.06286314635483|1.10987575369998|1.06305499725927|1.05776539375114
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.675031202187904|1.0364809842841|1.1330543134041|0.993477662870874|1.03091574158905
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.700729528750344|1.0844130010253|1.03472593225772|1.01358346613682|0.981592414174091
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.624615032583595|1.03662298059928|1.03597854689539|1.03924741350929|1.06140098953262
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.564066283275311|1.00547535157828|1.0374542066811|1.07922098238781|1.02401449508853
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.579813057707249|1.02024344877922|1.15815694676618|1.04916535210604|1.03230758364137
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.608584277070139|1.02739151931816|1.07242718903774|1.0942763638076|1.02022461328373
CT	10|2|0.4|0.08|0.02	0.722402437016302|0.845587024534826|0.991783303145068|0.933764202206488|1.04580931994072
CT	10|2|0.4|0.08|0.02	0.803910752511115|0.827877490531862|0.87703770788737|0.915371315659476|1.00208299028487
CT	10|2|0.4|0.08|0.02	0.848264451414981|0.782496294508979|0.989478128985557|0.949174451070284|1.02673985729551
CT	10|2|0.4|0.08|0.02	0.771715900865189|0.947364792664851|0.989426424459688|1.06277791182655|0.887396160077212
