#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.02	0.173705650269813|0.529168983141574|0.619411267471732|0.7485827307054|0.86767675306343
5Z	10|2|0.4|0.08|0.02	0.19521631569919|0.478508968633035|0.643509495652605|0.721078509381982|0.881970350499015
AK	10|2|0.4|0.08|0.02	1.0520402741677|1.03218097360838|1.00779777376535|1.02363583051692|1.00083114523877
AK	10|2|0.4|0.08|0.02	0.995672312722254|0.974895886382225|1.06077942463585|1.03439442140607|1.02800981500956
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.171469958052932|0.44388016847805|0.635646816894365|0.684422678145707|0.811496859358766
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.176686397165016|0.492940562771869|0.571687237830824|0.638311080837562|0.722075884100207
BI	10|2|0.4|0.08|0.02	0.996903197160094|1.10295113757099|1.05239645419473|1.04815562397066|0.993079200675996
BI	10|2|0.4|0.08|0.02	1.02138764858197|1.01239853836343|1.04160408497065|1.03594964467189|1.00361784501487
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.92165967480711|1.08494614912988|1.05842616134824|1.03997556328603|1.00299525549771
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.983859023014902|0.922116764420848|1.0591293761386|1.01945927177713|1.0056235207767
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.159698090477027|0.324324570990492|0.532485163492494|0.684480362875533|0.871704424370889
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.198157786057676|0.103979903120629|0.574613771655825|0.615537662254693|0.777992000492839
CT	10|2|0.4|0.08|0.02	0.746987204791538|0.994037445257134|0.997517841162502|0.971857154962354|1.06763831163597
CT	10|2|0.4|0.08|0.02	0.546562695694767|0.969633339051323|0.962267465531887|0.973138535877632|0.968021279190167
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.142921707000359|0.263902943400552|0.630435789069889|0.574817401579837|0.833640879117972
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0917125780714344|0.120249299479046|0.500812405889888|0.620761875786777|0.774697910672831
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.861971296651563|0.982458106820602|0.927129363378873|0.92044714798736|0.951530227324657
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.698968352165684|0.934130600666497|0.897822460003708|0.929672916334352|0.949193607490979
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.933299805402075|0.97143103100654|0.954531141331557|0.88116840309635|0.981996860154546
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.695405540717181|0.974194819934621|0.96596688437168|0.854500105341135|0.89021188293315
PD	10|2|0.4|0.08|0.02	0.4168305669889|0.476911480640717|0.503440258607239|0.495019261492617|0.672071165336785
PD	10|2|0.4|0.08|0.02	0.346825534608057|0.400401711448996|0.412171769002732|0.463524029069141|0.711732479513375
