#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.02	0.700706172799923|0.670054586115408|0.862957589554093|0.916934520708257|1.00223634745946
5Z	10|2|0.4|0.08|0.02	0.779980281667562|0.622987086896928|0.785478971119857|0.916148993643643|0.931090039035886
AK	10|2|0.4|0.08|0.02	0.987045166405808|1.08734704665309|1.00475327174591|1.04454695249619|1.03514778091175
AK	10|2|0.4|0.08|0.02	0.955263081821523|0.924472122536124|0.959855295706363|0.910348587026996|0.98316325898517
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.695087480001201|0.58104392658457|0.738512218033019|0.896701109638456|0.921407400735184
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.803675060800638|0.498243537117342|0.72777184426458|0.848969927811306|0.897764852727343
BI	10|2|0.4|0.08|0.02	1.26558971186904|1.23933234556535|1.06251228716237|1.03742489846608|1.19635005346414
BI	10|2|0.4|0.08|0.02	1.19084540472115|1.11201576592776|0.9889187776611|0.944689788109383|1.08318828487996
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.914736197104524|0.955525273680071|1.02945776135647|0.981608333409546|1.03957272070457
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.793868834767658|0.829609577202016|0.87391053839752|0.937142752622482|0.943453170298967
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.90253567208943|0.673852585658457|0.801345087703354|1.00836135599382|1.0166136508225
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.983168226847223|0.653694446969008|0.786821775879306|0.875742979187494|0.923875306734527
CT	10|2|0.4|0.08|0.02	0.75554878684162|0.985692185608824|1.11249869746788|0.983255448592063|0.980449994789871
CT	10|2|0.4|0.08|0.02	0.632701972634802|0.925318819785663|1.05784845740119|0.940452239152913|0.914225253893569
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.689344164130349|0.683760824946624|0.863171022800012|0.958153863943275|1.03113372345126
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.773639370800623|0.653795803410297|0.728625763476207|0.836509752259972|0.900982452952521
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.723551186202223|0.983430485675927|1.07439767692235|1.01218586336906|1.04150742689983
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.633784995217445|0.803932417999562|0.898433981444546|0.942699419659516|0.930981088535166
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.04879861520683|1.13953900964273|1.05562668124344|1.10952237102675|1.12611303709884
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.02451678486317|1.00361062761627|1.10394100244065|1.03076945207647|1.06811283570925
PD	10|2|0.4|0.08|0.02	0.899810687469705|0.88759225556277|0.846565395132747|0.846089827423795|0.986546921156361
PD	10|2|0.4|0.08|0.02	0.765188443704672|0.869410936228199|0.814940142487402|0.838352706620451|0.828877934572858
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.815395801145142|0.726638189584659|0.744287921475961|0.822848314096156|0.959683722621103
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.0062164864128|0.668017813323639|0.739271107879669|0.796691811324184|0.820885213123694
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.075662187275603|0.240794505449939|0.485367826155413|0.705560154492472|0.804820852189637
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.067789655493238|0.236319090412449|0.413713473241742|0.60050718189604|0.712487982460953
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.194982799065274|0.327988410113342|0.485519369553224|0.695671284979345|0.880956972994308
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.216422295281965|0.309688589074827|0.431804012504878|0.642063573937108|0.819311693495939
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.287389196151224|0.648117281612243|0.836379649973483|0.840792863095689|0.949892037275551
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.343226759603|0.586502765361012|0.776251988787029|0.757538449882567|0.907578225623153
PI	10|2|0.4|0.08|0.02	1.03328824960273|1.15248414784035|1.14993340293027|1.12593788730439|1.04070392331309
PI	10|2|0.4|0.08|0.02	0.997999516592698|1.01614271829182|1.04764647498367|1.03676466806889|0.92045892837858
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.531457718336446|0.624133983974938|0.782788119766251|0.959083880555054|0.975851958953351
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.658694298853345|0.51384621563548|0.59278671405908|0.815902564411511|0.955388878848123
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.507762150118368|0.807542125052221|1.11068653390893|1.12201643225178|1.03128812143156
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.274390753376967|0.677810889848211|0.974594067678596|1.01144687369447|0.93847653530149
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.434668721476982|0.917965833212064|0.943033882899668|1.05248593083146|1.06469074070982
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.34183964368444|0.763139374825552|0.863869611788759|0.867199931294268|0.910942580615918
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.464088843837042|0.880302126457146|0.935022179562509|1.00078491879454|1.08806788874785
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.385857108897391|0.777123429601755|0.810906334518934|0.872614407520868|0.914632231905379
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.40451928176377|0.593539283279036|0.728303280551557|0.861874005606485|0.923687400560649
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.227346768694598|0.460176907341465|0.623418440790969|0.758125615576938|0.811529282521403
PK	10|2|0.4|0.08|0.02	0.000822820938735838|0.00117251983769857|0.00382611736512165|0.776629828287555|1.03072721943092
PK	10|2|0.4|0.08|0.02	0.000740538844862255|0.00106966722035659|0.0025713154335495|0.59408700302901|0.907921194324593
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000542201337429966|0.00120489186095548|0.00483964897483784|0.810490591802719|0.995582063176497
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000662690523525514|0.000763098178605137|0.00279133281121353|0.767415707773561|0.916531116332309
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000824397716195516|0.000935802812978694|0.00635009051664114|1.07577217657708|0.971296476813814
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000467901406489347|0.000490182425845982|0.00213897785823701|0.822459267511489|0.899629578053196
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000830480397570403|0.00137824406405301|0.0110436223081171|0.910277194919934|1.01005853119823
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000742131419105467|0.00107785753727223|0.00392269464384318|0.636837106570955|0.990056322473771
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000161156134106077|0.000692971376656131|0.0037710535380822|1.14938972186466|1.10931019131248
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000402890335265192|0.000725202603477347|0.0027235386663927|0.955599470602099|0.98691210745891
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000190529871511418|0.000381059743022836|0.00292145802984174|0.626239932679445|0.823104922418618
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000238162339389272|0.00369945500518003|0.00246101084035581|0.470910454929762|0.759983963735814
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00040747437657578|0.000518603752005538|0.00522308064519863|0.952073141650595|1.08978095937064
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000518603752005538|0.00112981531686921|0.00505638658205399|0.772265812205247|1.02619643506224
JN	10|2|0.4|0.08|0.02	0.319011718503707|1.03715513281271|1.05443114365751|1.09929652948541|1.03257942191117
JN	10|2|0.4|0.08|0.02	0.183884130029454|0.949414975545167|0.989227263310545|0.871033408093964|0.96301600598085
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.221848272824544|0.626010441326781|0.80913819557979|0.957767921046143|0.989297759734586
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.109449616169934|0.4095719343264|0.731381189813363|0.852483345820477|0.924342270617551
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.241263390392049|0.707215902816124|0.908731087796797|0.954752070679183|1.00558807288791
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0820055218111541|0.77870789618995|0.83897956929873|1.00675427940364|0.990321369409166
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.351739378299924|0.897462395223332|0.987129668239953|0.978411121384815|1.05248653842667
