#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.02	0.315346883975984|0.747790824043663|0.974032417843721|0.938493313669507|1.01363705818627
5Z	10|2|0.4|0.08|0.02	0.297766187031832|0.566331935232987|0.79952339829378|0.892776634154968|0.888182303586359
AK	10|2|0.4|0.08|0.02	0.986564818898089|1.07803039831117|0.98960242116642|1.03957957546802|1.12060777517922
AK	10|2|0.4|0.08|0.02	0.896786796300748|0.811612938147859|0.896162718685871|0.889985623926372|0.960468185573936
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.265496818632325|0.635656698220651|0.960003598214386|0.970971726709192|1.04174731860743
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.237482149483319|0.550038471979709|0.778345174778445|0.901371979869276|0.873588624502234
BI	10|2|0.4|0.08|0.02	1.10520262755523|1.44366993753209|1.12084518303647|1.08430799312607|1.24880492467662
BI	10|2|0.4|0.08|0.02	1.10239848728|1.04217768018022|1.10137535501742|0.946177558920103|1.08646036025624
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.867339383251718|0.915392952572408|1.06391046025404|0.959526117547744|1.02600844890061
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.775732124780461|0.781698579568827|0.826697381270054|0.939044151050032|0.901771693679063
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.438695265476658|0.719953668273109|1.06049186092208|1.04608765797257|1.14168821229859
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.376461828034832|0.507291041843341|0.859726560076116|0.978583986596893|0.965884129315159
CT	10|2|0.4|0.08|0.02	0.667736845810077|1.06836384488469|1.06756035209466|1.05221844702699|1.12052906909866
CT	10|2|0.4|0.08|0.02	0.548970997000637|0.834568045366439|1.00814995785097|0.891080371598247|0.851049948751582
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.277810060704284|0.588295042244642|0.899792557874443|0.965015036768042|1.00454844322884
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.123217120104692|0.386775285889637|0.735080644519341|0.844829150792754|0.865239036054811
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.544846762651177|0.847032517256169|0.958757073944912|1.00237899799367|1.01470930764894
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.479436365417947|0.727790262653587|0.868107772946247|0.876422218331296|0.906660069940292
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.926722888416059|1.09992023357731|1.09370565242681|1.05926777834408|1.1237705834317
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.95345316612068|1.01099109306525|1.00620889708237|0.969990014986993|0.98607971716077
PD	10|2|0.4|0.08|0.02	0.729123668010431|0.829537528213676|0.798238679653602|0.971344562764028|0.920121761463427
PD	10|2|0.4|0.08|0.02	0.538404581436027|0.617706921159095|0.750957744765938|0.76025797405236|0.752875022803447
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.271561834239974|0.704358078060686|0.825077047179763|1.01715514923367|1.02865534572983
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.243373942540385|0.532235712660558|0.733083748733117|0.808008769934019|0.902169731317352
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.434495053529037|0.891159164596015|0.993663344387072|1.03571989395801|0.984065989894605
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.299744132127583|0.741056170849537|0.785597502286184|0.915129458058914|0.950369022436934
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.808527127161738|0.806603595494008|0.891700000596136|0.945566835770535|1.04019346595369
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.644645408462347|0.623987314229167|0.8309338865474|0.815219745608963|0.874722051661133
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.421135383866047|1.06427176750565|1.14166449479391|0.981700725903962|1.12180574485266
