#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.02	0.0567182573586675|0.248175927536122|0.519193400827165|0.85238811725478|1.0432333527397
5Z	10|2|0.4|0.08|0.02	0.0577767864568763|0.120940729931422|0.444317588973151|0.803249684331501|1.00044987486674
AK	10|2|0.4|0.08|0.02	0.848904873416644|1.03117063969723|1.03065511435989|1.00423363024675|1.01761459293357
AK	10|2|0.4|0.08|0.02	0.961542296179033|0.926518996217049|0.960498276313475|0.956189262644758|0.966927752690499
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.05685249112297|0.231043889352913|0.531260723411084|0.798594487395235|0.959356163312665
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0375604316931572|0.137144455919323|0.472462897511963|0.70840139399201|0.884653332949313
BI	10|2|0.4|0.08|0.02	1.04556679345988|1.14835917845411|1.09697595870958|1.08111584204747|1.04935854371586
BI	10|2|0.4|0.08|0.02	1.14678391564004|1.11481534676631|1.02944722174604|0.936921843798793|1.09076756997178
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.964416539705844|1.05558855102349|1.03665694017655|0.957263696090836|1.01799093259948
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.01202592583029|0.971130400138704|0.885853305838476|0.890228381922746|0.957348541579823
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0675371741833254|0.092670534258522|0.465803343531163|0.825353681097294|1.11869196367098
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0639848968342823|0.0644798208694299|0.4509596137996|0.672757425357273|0.966323213334211
CT	10|2|0.4|0.08|0.02	0.937009957734445|1.08461427955753|1.06388979199903|1.0546503451561|1.03590681919567
CT	10|2|0.4|0.08|0.02	0.204594772378439|1.04663198723716|1.06948487437528|0.974655789020029|1.00188266961039
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0440433722165887|0.0520226669033544|0.463619393155347|0.783332644345068|0.935130538959044
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0219276594744398|0.0491435065287717|0.409521655711753|0.699801328207261|0.894935774135056
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.628629501775406|1.03542500709751|1.01549437753813|0.964616137885066|0.951515575433154
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.245964705833947|0.975007714684233|0.954287101459413|0.912111848520632|0.926035310624046
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.928315349082873|1.13620185603025|1.037115971775|0.947437186395289|0.978008404490426
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.264136362162187|1.12155747161052|1.01128166162428|0.93295588800808|0.995221393922265
PD	10|2|0.4|0.08|0.02	0.334708076183871|0.33709481667841|0.367738793939819|0.371350260623209|0.422073107300032
PD	10|2|0.4|0.08|0.02	0.239220011730811|0.34220399068913|0.375806493262161|0.373268506461168|0.399013578967172
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.050135006495878|0.216724840197411|0.338460187552261|0.387812894766777|0.418961178398162
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0406037274964228|0.106452572108237|0.339218538896439|0.375000748373037|0.387230161628619
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.253123217998631|0.322806917223008|0.368057640348244|0.36580209321128|0.383226989051066
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.251817542120754|0.302325913853983|0.352824755106352|0.365233441186608|0.358666939873785
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.306050657814709|0.352668278712904|0.353905790217893|0.361963677631065|0.406921908102114
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.342872250140451|0.335821247088157|0.338495959454623|0.367878420119687|0.373180031908109
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.389771014463091|0.409799756438802|0.388651159254814|0.382092842721745|0.451447844132529
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.403972415890248|0.403656634264938|0.394145174754429|0.383967065146042|0.418261534435548
PI	10|2|0.4|0.08|0.02	0.517496794948361|0.584008982107451|0.908693055588734|1.06438291807012|1.00373139676549
PI	10|2|0.4|0.08|0.02	0.540522204438499|0.477918189563874|0.834584298830256|0.953976254747856|0.98457593782598
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0358822226256886|0.221586300060131|0.331921386251089|0.746310920408493|0.994478248630389
