#Treatment	Dose	Effect
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0367617051967759|0.157344095890251|0.288430306836145|0.663709517567165|0.949754561066573
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.252134520790821|0.363004952001067|0.790712797013283|0.95032047230985|0.993576606959649
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.225443749329898|0.36243313142372|0.719468834471018|0.895519838077149|0.911485487001978
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.292195012699366|0.355343978880454|0.541788775952691|0.884152239901264|0.994156226819091
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.204209613396044|0.341022842974209|0.548663429480001|0.815196034049231|0.955186090580867
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.422829555993528|0.674154080026213|0.750792605025|0.888814513197427|0.955029816292823
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.243570389443464|0.603596236558762|0.655332655045777|0.836020584878875|0.947070367294821
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.170946043738679|0.207003627102835|0.28760103915546|0.345470945897543|0.405215075063924
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0933631766461945|0.192196977560499|0.276753355545257|0.347137571142238|0.38532668047724
PK	10|2|0.4|0.08|0.02	0.000458660806000812|0.00087272958919599|0.0308927163708464|0.925262177205514|1.04314755978118
PK	10|2|0.4|0.08|0.02	0.000312144159639442|0.000611547741334416|0.0137725647579688|0.726448643526592|0.940066728776984
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000326474590782423|0.00115931793461513|0.0495874926917997|0.900376944897419|1.03467126840376
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000153243175265219|0.000646286434814184|0.0409425787828161|0.818268585315639|0.9658884023233
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000411431878822852|0.0012064019497687|0.13877806475345|1.02821010570836|0.994441311247345
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000376564770448034|0.000843784022670594|0.054298547872104|0.964399810671602|0.960581862304559
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000877085099910026|0.00134313769912421|0.221730997028915|0.972541734362964|1.0153344251047
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00116836797441889|0.0017897714400378|0.0945568940183443|0.845749535565639|0.991193547760682
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000311730415536644|0.00128551685645111|0.0974320835912531|1.0897264046053|1.06997457170468
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000418609415149208|0.000869876302402254|0.0461628212493264|1.08375008721029|1.04222165813861
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000277596366117464|0.000423699716705603|0.032358970088261|0.3926965857108|0.409139056785989
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000435387984752654|0.000680841613740728|0.021211284438386|0.37365055292813|0.400767334797289
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000311285045641769|0.000991619372199036|0.0926409968823359|1.01461595608634|1.03527950669343
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000523087241645446|0.000914600391834063|0.0333074998836692|0.911006172750364|0.976446633067137
JN	10|2|0.4|0.08|0.02	0.01063711839621|0.916232692629846|1.07559524243064|1.05521444589305|1.03639069559665
JN	10|2|0.4|0.08|0.02	0.0107212830578964|0.844330174730693|0.952203374193658|1.0122192521808|0.963025007425104
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0278744665530988|0.215377320384257|0.486001299590805|0.748743436188335|1.04959519502643
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0313271632040182|0.089327549568852|0.400214256862366|0.665671484519064|0.973017684972164
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0750668332373179|0.540171144871156|0.996475477218443|0.998203755607195|0.967929755516574
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0180304099320987|0.581122280550719|0.916495672831075|0.968411990497705|1.01274524399795
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.06371769693569|0.805858750495429|0.899668823544256|0.89357375170524|0.983001785769952
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0232432135546322|0.707497413379766|0.83351369164518|0.875217283521782|0.945950399237596
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0103791820257814|0.768036093371729|1.018258535723|0.959262002755509|0.954130853082854
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0104142468299226|0.760675406569099|0.956138313119935|0.924930637434308|0.952687351979043
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0157214993670003|0.328521251622613|0.358324387899676|0.353366291038681|0.400274059205132
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00333428002496699|0.315874093221848|0.353019705627039|0.365519244315438|0.374697339475597
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00764279870159824|0.269818956957059|0.584041247158431|0.945140016816747|0.985794785513643
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00585591819194884|0.239743038813667|0.560649945414361|0.949435651665125|0.913937587047706
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00138037617885179|0.00348782072671713|0.043803234927381|0.936390298730265|1.00273265309707
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000713018738694438|0.00276426476528336|0.0187246448077835|0.743559122600587|1.01138020055847
D1	10|2|0.4|0.08|0.02	0.731721528172149|1.06428860536462|1.19366910320064|1.08679307432892|1.07385657829214
D1	10|2|0.4|0.08|0.02	0.531962514304182|1.06188029779112|1.03987302780974|1.10565866823699|0.986038807934363
5Z-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.032042248257436|0.137437299634024|0.535213449644692|0.802159705697291|0.580318302459363
5Z-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0376847715742939|0.0690339353202662|0.468628412931598|0.704866948158637|0.482645027934024
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.273802796162622|0.838082565123703|0.980760617858002|1.00953073031667|1.0408503693746
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.228669358439581|0.700958935579462|0.921633414886372|0.968831014786573|1.04546951168385
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.183039283861747|0.903599038685872|1.04720420827869|1.1338342254105|1.02457119515689
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.183800361965122|0.755575387881794|0.956412422787947|1.08393226706895|1.01244830822455
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.068874412418192|0.594189930623781|1.10451172140687|1.02942519006666|1.00322244222427
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0905427668868367|0.454258551110171|1.10320279318632|1.0571666087272|1.01467631988634
PD-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.282580396277564|0.373473566296312|0.378616087245305|0.371068558068439|0.499983455480312
PD-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.11971453036565|0.369964514022893|0.375549298229898|0.363533941687428|0.452212567217155
PI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.148917310371027|0.370223685161174|0.750907193925471|0.785910002322851|0.875408926741614
PI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.171039557617205|0.324869815438184|0.719297768586502|0.619898369420398|0.905710097256782
PK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000842573327661818|0.00197325237381445|0.109806330443669|1.02455557654439|0.986085309190437
PK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000565339523076317|0.00119591052958452|0.0460697351737672|0.951278876822574|0.925990805078815
JN-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0474975442059963|0.389581298199857|0.916992458445784|0.953182102323273|0.94205689534466
JN-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00606160174349445|0.271547760336319|0.853584232200521|0.910369142820526|0.967481265410491
60	10|2|0.4|0.08|0.02	1.03486991076208|0.963736289457332|0.999241187010028|1.02717758564583|1.01439026544864
60	10|2|0.4|0.08|0.02	0.647888876556605|0.937633122602283|0.961123858665984|0.949514397438308|0.999183804137154
5Z-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0362781699188344|0.263109686975711|0.482982421668354|0.78992457792355|0.959574371608652
5Z-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.030150693006454|0.188119889360802|0.400326476322909|0.739139372137664|0.906990523117849
AK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.763020335232321|0.860089049868411|0.943867269371413|0.991286283947539|1.00310149215427
AK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.543160616618284|0.78614069620953|0.838330988853836|0.970364326464533|0.967600988151703
BI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.04609508054267|1.12636590279117|0.988423758440929|1.01666771222271|1.03488052392426
BI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.21554331351424|1.06884018404884|0.99603230845607|0.997866291195876|1.08273756001298
CT-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.902797779762069|1.23868971743648|1.11834835338009|1.09145154665123|1.04125793686985
CT-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.866107718727443|1.20820704687287|1.1347901612154|1.06102826342242|1.01999161507392
PD-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.332335038213959|0.366606750438259|0.358536117817345|0.356577496131375|0.415719536487316
PD-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.372146454894748|0.365462137481351|0.362111644214287|0.356066309762271|0.400945139145485
PI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.357346838640574|0.516293201788669|0.801898255134529|0.999589825823018|1.0315369768151
PI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.377056868714855|0.413306978997534|0.668302203950983|0.853753558067507|0.957897555516688
PK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000809469227277238|0.00150955072113863|0.105315384368962|1.05689802953625|0.982858160832784
PK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00112825633608912|0.00170332327747527|0.0270750267023271|1.06929322241417|0.909393359070704
JN-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0235550708833152|1.00870332865971|1.07877654878745|1.08668016825051|1.08333246784719
JN-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0103304426096138|0.913222897301414|1.02486368593239|1.01224835990376|1.01599072198854
D1-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.463765287384631|0.951486974307977|0.965285216069964|0.998262828004483|1.01344585065278
D1-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.359968679788008|0.841472793470154|0.940145401993062|0.930420956350746|0.925138962142352
SB	10|2|0.4|0.08|0.02	0.485918485227047|0.902874134906815|0.936566549518079|0.97777570393434|0.98867186588643
SB	10|2|0.4|0.08|0.02	0.0588160852010297|0.830950416524385|0.823244202841684|0.914531020338041|0.981276728719362
5Z-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.045990104098659|0.228066909850617|0.55735427715747|0.799303786390774|0.938424268017236
5Z-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0159662394741448|0.0507019088921425|0.41049376713794|0.647873159103979|0.858368037516634
AK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.52481553770739|0.855022776275526|0.953771048513544|0.941707284229035|0.990863176729349
AK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0223475274236263|0.783856782655669|0.902287224080475|0.944552190407496|0.979381395428028
BI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.578604853221195|0.90887142331412|0.916644203114269|0.975897975623725|1.00036019817932
BI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0828783975634664|0.825036664424218|0.895326096553427|0.913462582753774|0.938062321317091
CT-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.580855446504301|1.02752592131|1.08160495750463|1.07609700368697|1.00858908448876
CT-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.107939969881082|0.89141264648353|1.04695089231621|0.996157241522563|1.0126464835298
PD-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.231520664901241|0.419319983722268|0.385232970024517|0.365459134273245|0.413674898414525
PD-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.295797658973501|0.386127042484479|0.381604559368616|0.374925076326926|0.370085859021211
PI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.20133107618395|0.532925693759624|0.770483501688133|0.986034962888578|0.984900083310478
PI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.222481104684903|0.401489443470531|0.687135194249256|0.854172273000441|0.96768086498458
PK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000575510635679233|0.00109555036671468|0.0808661781760126|1.00387429599621|0.998160792817905
PK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000929137652783339|0.00147691283614068|0.0209298657084068|0.859282449179117|0.983436734566521
JN-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0301640836683481|0.804859529233106|1.01460330914164|1.0889363697543|1.03866943703782
JN-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0164495692386777|0.667836030128767|1.01760519856616|1.02792541972496|1.05409483223755
D1-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.26141349806452|0.880170659434204|0.993366846459308|0.9791501671488|0.999780469572805
D1-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.175209364408467|0.794666800052243|0.914617484440665|0.996723716789076|0.951046567312938
60-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.585678395993194|1.02881898738241|0.998747872989373|1.03491909333162|1.05482068899091
60-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.615496677047549|0.910079622435548|1.02822101647029|1.0122403441744|1.00890535204032
RU	10|2|0.4|0.08|0.02	0.595247784364156|1.06352124223951|1.05702217740723|1.01156480722314|0.973753159824473
RU	10|2|0.4|0.08|0.02	0.319444472286761|1.0250440521128|1.08249722857584|0.990800675966891|1.01861314527074
5Z-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0803425960714252|0.349150860745977|0.674568982193567|0.917691139083791|1.01182768057267
5Z-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0348511201347412|0.279465815621617|0.577743120007497|0.825016184930347|0.983060202782346
AK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.629483825897632|0.927636471426417|0.943896380350125|0.975313713967747|0.966358629799317
AK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.342113337458982|0.892211364948282|0.898583585119236|0.934934362318614|0.944614035178954
BI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.746634646512805|1.04441030530981|1.01173091298641|1.04140449184683|1.0317513572268
BI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.380098061721201|1.02349910433822|0.97509216585341|0.985687069704657|0.986224662974146
CT-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.308324464118817|1.04180433632802|1.06489856675346|1.02157419063207|0.972388259475702
CT-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.113233238573997|0.978890806306544|1.01179628687903|1.00355231725018|0.916555280447805
PD-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.312682601855716|0.357161203326163|0.340301634186278|0.366463864898706|0.412082223007031
PD-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.204686647189135|0.343010562815038|0.344310848556843|0.358497608116352|0.385129386457765
PI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.702937850431323|0.705501512738382|0.946290386562383|1.04135311635948|1.00079929425278
PI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.623295579014677|0.501637073043653|0.708982883261594|0.944185578363401|1.01556847583467
PK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000749003347599752|0.00155562233732256|0.0921038417193555|1.03200614392256|1.02759592840733
PK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00106850827210035|0.00141420212483869|0.02065782659394|0.968807022299218|0.990339559096299
JN-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0957909880846736|0.951442068279103|0.991262006271778|1.03867070400614|1.01848312954768
JN-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0450431308107198|0.871733777677495|0.949026506058969|1.00487125224403|1.00161629530906
D1-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.31089122042972|1.08623470245162|1.09463291349566|1.09235627245942|1.05961461801768
D1-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.211065903802442|0.968863800168635|1.03340263825092|1.07086373166535|1.03061878141404
60-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.631760727640902|1.08477869732058|1.07302926327893|1.0161667946267|1.03261483347785
60-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.457605537808355|1.05670394918026|1.02645229769226|1.02835453135581|1.06201033371636
SB-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.361684882645375|1.02679960773517|1.02842063906995|1.04358532533542|1.01379732777315
SB-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.26340212404602|0.883199123900622|0.990382086985036|0.987836077846627|0.991706135479859
D4	10|2|0.4|0.08|0.02	0.978649962403567|0.933809554822705|1.05741893084032|1.02975446864694|1.07009810596866
D4	10|2|0.4|0.08|0.02	0.853738032788826|0.924155856458594|0.993362897352856|1.07387847174939|0.989777914611691
5Z-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0503455956442575|0.32439963518823|0.537085159192674|0.94511913670817|0.986319558611803
5Z-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0314686161704847|0.278967082481375|0.400172061258522|0.901488382264072|0.974105042481715
AK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.806218888617716|0.858398190170267|0.903736030097169|0.955904806324142|0.973284750184687
AK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.508646883878688|0.812197273545976|0.873707276223355|0.923907816567257|0.960307023747108
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.930953791620299|0.997425296805051|0.978906090014772|0.968318688934606|1.02888433657849
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.558199733711705|0.952723260581389|0.904969184453836|0.944464971137526|1.02226429587005
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.854062006681194|1.06030095323529|1.01447494625313|0.984331409428037|0.987957633662231
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.293826433596778|1.04062116256866|0.966831444127|0.959555619515281|0.944127364916938
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.307559760062614|0.302869906048241|0.313375674011836|0.334402677795274|0.436372973324135
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.166412478228992|0.279909420233812|0.293657250866973|0.327513294622445|0.408611264930348
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.304723331415941|0.442853581322277|0.704690461831588|1.05176820257692|1.05002444327141
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.314614847859786|0.355125217795816|0.621976102697952|1.03819696402034|1.04947011723021
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000803240947668852|0.00155465989871391|0.137089909868592|1.03605904080075|1.02142969115386
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00100534673450166|0.00167385049094864|0.0328344170608377|1.01687194655079|1.02055130831108
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.019838408179957|0.809127886650937|1.00925611774556|1.01343330370516|1.01584053934463
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0146833633700267|0.812301412735128|0.981925091883901|1.00332188197837|0.976721025126328
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.099717094277041|0.886166311839002|1.07974727853876|1.1047525866076|1.04623758342276
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.141286446348336|0.662409691099086|1.07055140792939|1.05632004498947|1.07320257312223
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.15248040329059|1.08933358796543|1.03996023074333|1.0617371059702|1.01157069612235
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.126216366332|1.067384690294|0.983219064751872|1.00253222869655|0.986814042279618
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.610736327729629|1.02623902130538|1.0290008583664|1.05694562790209|1.09155019089629
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.660995485337941|0.969919514418829|1.00838751084727|1.00959267611027|1.02677883491276
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.584488063187598|0.991959486844506|0.97876986973338|1.01733592018819|1.01812423310106
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.313300064485668|0.923028068675147|0.9473794166763|0.964541239489741|0.946593889321424
F4	10|2|0.4|0.08|0.02	0.799380208920379|0.938221702274856|0.978948609421498|0.978414842856273|0.977549415512656
F4	10|2|0.4|0.08|0.02	0.433939262028857|0.925864747179912|0.906778705823367|0.946101236861504|0.956641830974785
