#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.02	0.0806803540765511|0.168319490230854|0.456779509951916|0.547929626947004|0.82799578501786
5Z	10|2|0.4|0.08|0.02	0.0900219097840386|0.0733966483220174|0.354085576773372|0.604087269084189|0.703730529964055
AK	10|2|0.4|0.08|0.02	1.055073824322|1.04388387599693|1.04847720309966|1.0505224071381|1.04164588633192
AK	10|2|0.4|0.08|0.02	1.01348242088455|0.987481507248321|0.990524167354688|1.02840235198464|1.05573600103937
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0182220121411277|0.166103507138744|0.472476051099245|0.526266902526271|0.651814667192328
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00823169284309213|0.0881212213784577|0.399596258996964|0.542779826985834|0.627003998191835
BI	10|2|0.4|0.08|0.02	1.11827113615864|1.15365858722407|1.03411636335115|1.03550971540092|1.07090639396337
BI	10|2|0.4|0.08|0.02	1.06898707458355|0.958672347728998|1.08446158708335|1.00114651650453|1.07762401179274
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.801277701898929|0.945235053090717|1.04342424108913|0.992791998942592|1.01926245759351
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.797435784464907|0.876714984359166|0.883561704189981|0.979803498259682|0.947658280830066
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0988161010260458|0.0722868981846882|0.435339384372534|0.58232044198895|0.753985793212313
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0830899763220205|0.0497138910812944|0.346872533543804|0.548668113654301|0.660753749013418
CT	10|2|0.4|0.08|0.02	0.547397113143388|1.10311588267548|1.09404509669864|1.04047781831802|0.968037889710976
CT	10|2|0.4|0.08|0.02	0.388455281250776|0.897899503814469|0.918261387559485|0.972108461328441|0.929687870192991
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0448352311541573|0.0345840650106661|0.448922286437531|0.56325254497982|0.746356980306529
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0285825646355723|0.0327232646150364|0.377901738004333|0.517009140553295|0.632563168725142
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.637357601827981|0.926457626803779|0.97403961863401|0.972982791468598|0.972330530952445
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.396723010141|0.822302355775086|0.943606298855035|0.954224109282534|0.993227636856022
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.791876111625031|1.04010500891607|0.973989992779484|1.05108573036792|1.06305379400074
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.434255237181277|1.03580499530551|0.896552837801364|0.952517607217748|0.976047724614579
PD	10|2|0.4|0.08|0.02	0.283147552539983|0.366867868000176|0.351870291227916|0.394774639820241|0.506190245406882
PD	10|2|0.4|0.08|0.02	0.110983830462176|0.299458078160109|0.294215094505882|0.31747808080363|0.457672820196502
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0844514601420679|0.191406866614049|0.288516179952644|0.401716653512234|0.56490726124704
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0944554064719811|0.0787095501183899|0.261148382004736|0.327111286503552|0.486552880820837
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.135625098752905|0.275377355078327|0.304023788266156|0.352095274899534|0.494375605605167
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.127865737929301|0.24945697799928|0.276313960948104|0.323715355577088|0.433244939567981
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.232362796878666|0.238394844819836|0.296408531550942|0.358906852499593|0.547397604732507
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.210491250127608|0.196693477758614|0.258181681415454|0.310593157350842|0.493596322026825
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.263004905749774|0.446549461266711|0.444751089830382|0.411944644743827|0.546220739718589
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.253549622082618|0.426532203817735|0.418266612023842|0.367704707410155|0.524163022370703
PI	10|2|0.4|0.08|0.02	0.728420494842115|0.974639677605774|1.01250064797553|1.05874018197073|1.07507492517083
PI	10|2|0.4|0.08|0.02	0.741729432296636|0.791685945938681|1.06403150217048|1.07015991076177|0.935933939134458
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0291925835723952|0.139054937337388|0.433896745815476|0.603327083842431|0.739860320798073
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0277469182069642|0.0616625562402844|0.2990966644968|0.564203764890456|0.712926589359164
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0832855209505832|0.588079168546314|1.04332020865178|1.05078332012106|1.11267809200124
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0769348685852936|0.483376619963823|1.04548381021623|1.1039273310179|1.00469948275031
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.120494725880971|0.505295059404037|0.859507215862905|1.08390427583424|0.98373313585925
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0525565342536945|0.345805547676475|0.862218042607952|0.961665787805468|0.891816311029296
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.128858012253941|0.736482965016629|0.96663210059622|0.990538209835748|0.989922109927268
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0506992913060064|0.52422938259267|0.890450630517363|0.981303875160965|1.03691047387754
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0356423385053804|0.227888245048859|0.389056909809943|0.440988343440527|0.486058298360196
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00266297308840898|0.110696678719214|0.335832032107847|0.404294649326216|0.479113817890683
PK	10|2|0.4|0.08|0.02	0.00054525941100464|0.000760291291400837|0.00148218403273092|0.0321626255392596|0.999514258341605
PK	10|2|0.4|0.08|0.02	0.000299508690551845|0.000622056511146139|0.00119035505219323|0.014092267875965|0.802706329808986
