#Treatment	Dose	Effect
PK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0010666608617096|0.00158910699805715|0.0064870395263155|0.35876811554767|1.02732502136043
PK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00152380123101371|0.00204624736736127|0.00966525352242981|0.351725977001486|1.04024467894052
JN-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.768097541755139|1.0624302256857|0.9743449423199|1.0950572423002|1.05510802705602
JN-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.917901626425585|1.06545104305759|1.15319703171858|1.15658997876672|1.13471094280148
JN-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.933423730469943|1.15755976594471|1.174710790242|1.24120154896715|1.07769267416719
JN-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.885830859627906|1.29470688117663|1.19893477968752|1.13877182052504|1.16211627026301
D1-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.685480632737432|1.11862412975981|1.24419887003094|1.15035148937614|1.11429201612949
D1-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.837070676793783|1.09724633664934|1.11665601547345|1.04721777637019|1.02414333301285
D1-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.632113223757093|1.06095272546404|1.1252628247157|1.13297234970948|1.01361036377202
D1-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.817740950916778|1.06953268069906|1.09565689222491|1.03312156632226|1.10823856571183
