#Treatment	Dose	Effect
PI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.670045003390666|0.85823315455274|1.07166019357623|1.2739535170458|1.22472104062635
PI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.525492984909117|0.787425871462321|0.983727881972904|1.09566800057856|1.0511185574466
PI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.565594715780338|0.847897883419314|1.05622920784919|1.06161708692927|1.26154717708886
PK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000531379665117751|0.000893170075410689|0.00222727221336589|0.59520175468349|0.975918325814876
PK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000893170075410689|0.00139063188956348|0.00306391253716831|0.539033793485511|1.02029418082737
PK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000783305378413125|0.00116928194168916|0.00337161880273476|0.57747769992025|1.00154106819014
PK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00162337201613155|0.00135091797146611|0.00234991613523938|0.55690741954801|1.04334005954256
JN-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.798509638932852|1.11563038819036|1.08101007069589|1.02101058031783|1.0025509409603
JN-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.609349297712647|1.14308202365212|0.996152354311826|0.99828144155061|1.02400036239783
JN-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.620254326768581|1.10347518707249|0.96849607492081|1.11032686039572|1.11181884956158
JN-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.816542716797503|0.998703117109673|0.978423541293669|1.01316393517881|1.05174907037598
D1-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.892068116394409|0.888912010543474|1.02191932854715|0.990127053491948|1.00394224210685
D1-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.728158707037076|0.956091977941942|0.958253852645695|1.1026139030509|0.960566018104256
D1-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.878209120265874|1.01390428915575|1.05914411308133|1.01196005820541|1.0837507860465
D1-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.945139270731122|1.13303704063746|1.03255675483552|1.03668824560497|1.00531321864396
SB	10|2|0.4|0.08|0.02	0.952978753244966|1.09669139147854|1.00211435512169|0.906372968009463|0.916132344340858
SB	10|2|0.4|0.08|0.02	0.896444231568195|0.999817408631544|1.00376561619294|1.01210660160416|0.953571513629519
SB	10|2|0.4|0.08|0.02	0.950517399605489|1.03457769432812|0.895961013069482|0.956994124534551|1.02605457748336
SB	10|2|0.4|0.08|0.02	0.800751046929885|0.965633273910613|1.03878651069082|1.03795318614783|0.915897511629624
5Z-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0892240129262129|0.392095123669056|0.492135172832857|0.541873472262502|0.697418900443303
5Z-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0732043474057809|0.389653505682838|0.509403267459364|0.55904213448233|0.704025631464833
5Z-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0824811646626464|0.331607089342327|0.47104904811226|0.545706910058307|0.730805831725385
5Z-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.055804123006714|0.371365029626553|0.45266849280498|0.554013911598782|0.724349503945826
AK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.510782319215831|1.07643178595648|1.15816534122434|1.14975648850256|1.10450650391468
AK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.430861229270698|1.20180013562666|1.12747672769866|1.06863941803835|1.04553356759756
AK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.547840026999662|1.1844534979027|0.955643411600212|1.10884238947013|1.02041849476882
AK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.342534111180753|1.11935297237356|1.10047731546213|1.01782700930524|1.08397618244058
BI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.911112618571154|1.02757521283451|0.979287499010729|1.0395256023245|0.950502549491798
BI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.665502153783536|1.06826532804215|1.01998892016868|1.0508541645468|0.971825571798438
BI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.913742752296702|0.969709353971727|0.92806929414536|0.953611860832744|1.01576543977205
BI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.583267348369391|0.941237906304189|0.984773792191354|1.0302963221542|0.959287986763274
CT-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.919573163308352|0.961022414871901|0.983785528435489|0.971984949165211|0.953536634739796
CT-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.560040543256994|0.949708807682834|0.935552642531349|0.943242271441636|0.944295490128906
CT-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.738328053987054|0.895170545838498|0.9188243125373|1.04778956066657|0.983771748611302
CT-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.761040719827388|0.816382041041179|0.98178625533673|1.05795804067392|0.923380617913051
PI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.641526983819397|0.937454381035429|1.01687820947583|1.05038917417563|1.04159157704357
PI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.810593288764009|0.875251106158964|1.21132965151956|1.12365080903013|1.01057391079676
PI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.727422291146922|0.759732991706561|1.21689703998382|1.14204032094936|1.09604207403412
PI-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.784195266671162|0.961809722877756|1.10328366259861|1.06328635965208|1.03881059942013
PK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000939437202949338|0.00266997941890865|0.00271942348222177|0.512042719670703|1.08136638668966
PK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00133498970945432|0.00133498970945432|0.00551301305941322|0.499434483525856|0.935147930456925
PK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00102095076039562|0.0016043511949074|0.00284407711824494|0.499828322267969|1.05763206271555
PK-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00143419273484146|0.00196897646647726|0.00318439403837681|0.562203552057854|1.06312575014053
JN-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.80977290393059|1.41845759542867|1.15839303095873|1.24207474632886|1.10108331057471
JN-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.971296121229946|1.29827804737996|1.26333480389067|1.12042464093892|1.09930463645722
JN-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.734329247677823|1.18412954908803|1.09964300653819|0.98375479190662|0.978689266702194
JN-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.802679456544785|1.18487447926516|1.02135657515486|0.954817119641517|0.936434534963011
D1-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.944517380759903|1.25063864187551|1.14264834276475|1.0778722716249|1.07770412287793
D1-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.983088116410671|1.14154890864996|1.07338399353274|1.03036378334681|1.06147130153597
D1-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.0408847848268|1.25749463389332|1.25361806970308|1.14444637817658|1.18676098729538
D1-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.16094907573291|1.20269039014752|1.13773064021321|1.04339636162611|1.09895134843692
60-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.941432824151069|1.22863853827198|1.18227699643348|1.05777888864322|1.10061556899275
60-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.30158394457636|1.16642152857221|1.06994286519968|1.17001047845188|1.09998750276381
60-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.97024260990337|1.17222380919547|1.05347005381481|1.18850943811297|1.07897545007109
60-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.18878524311883|1.32651700961706|1.12247383956685|1.14876725012559|1.10206426913315
SB-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.09864171606284|1.24278993115547|1.18861805906276|1.15553813029957|1.06736928842933
SB-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.17455676350974|1.22443582041945|1.02691316020308|1.15217564658037|1.08949788681853
SB-RU	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.800901587549753|1.12367514185021|1.11174083266561|1.06012103682568|1.07226380555936
