#Treatment	Dose	Effect
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.752859650184591|1.01286086061853|0.968816195606125|0.938661260061732|0.931761786600496
BI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.51714277068329|0.964382981298796|0.888397990679659|0.958391333292986|0.9538370755916
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.858560794044665|0.985422784771705|1.02975390989596|0.97061033077606|1.01445580167095
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.656149217261973|0.981400960684772|1.04027135930066|0.959971467814025|0.928722653493296
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.75621702679249|0.954363083805049|0.999212092384891|0.833976609673472|0.965052484813716
CT-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.554585295537974|0.902194159317098|0.955568546147059|0.936499003315021|0.847193124507558
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.211463638376617|0.249739031411128|0.326463796539398|0.3903931926739|0.51413975263341
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0461677158131149|0.203476417929333|0.295622054218201|0.36432796634296|0.519232594185936
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.195005491094877|0.278724792691273|0.344872590682647|0.378073819414602|0.542090435945185
PD-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.084594693533241|0.184516704069777|0.30234445876904|0.406818507377167|0.494516863231947
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.369713467165647|0.508029530716271|0.75426575195994|1.14774744626234|1.02701268808691
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.38899250305061|0.483689951965654|0.907257389820963|1.06034697367293|1.02275203748067
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.361960828876515|0.463440651312486|0.771208527765457|0.803026359680795|0.854184154866332
PI-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.381769995198|0.526988339571046|0.812630359636808|0.912336008035102|0.912511959179335
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000778154045680525|0.00461128323366237|0.0734779162763888|0.937286548022192|1.03782693277614
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0014122054903091|0.00273794941998703|0.0768355068808992|0.89722602492975|0.969724043518986
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000770042389352683|0.0036725098569128|0.064727986228088|0.971660218795698|1.04234122503378
PK-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000621957314477167|0.00618995612979657|0.0643429650334117|1.06203653999223|1.10788367917369
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.171482038480042|1.02028555085404|1.07816850455146|1.13964262579504|1.04230228690701
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.283838609596903|1.0192551736678|1.16962963243567|1.03768074217463|1.0876691883128
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.164115813417956|0.941517593866719|1.00032295206268|1.02629953101744|1.08106096773288
JN-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.275983599651773|0.887472268246792|1.02834957454576|0.980257799994383|0.988486056895729
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.254074851346625|0.886125071335211|0.940895786160049|1.09352920601609|1.07660757349828
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.33260065168167|0.895314887428435|1.00587249866534|1.05294085160435|1.09874265937667
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.248816436593176|0.8325698264107|1.00669536839847|1.05932372182813|1.02569366774426
D1-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.351391931851262|0.920314391211754|0.922214221146333|1.07731082137002|1.04532013666519
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.755833972309428|0.921196163249953|1.05785506575426|1.03281202528899|0.95763950174332
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.802563620317993|0.993330536305898|0.937529838978024|1.04612201791062|0.949957321219311
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.685356942631062|0.987331198663511|1.03586922576203|0.982891286107213|0.995910012755342
60-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.849438050050607|1.04264197372926|1.09717012014102|1.00393195645876|0.988971708726686
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.458931385410764|1.0440378509715|1.08819214258545|1.02588863616957|1.11219444034746
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.495431645461532|1.08333268644088|1.06659628476724|1.06425194649941|0.950792184504079
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.377466762306704|1.06894423407343|1.13728793767828|1.04448929888068|1.03196156605001
SB-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.541261447612057|1.11528516856557|1.16651375381587|0.965169232822326|1.11868817455419
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.913591230568944|1.00169364942681|1.13584700836214|0.879408079728037|0.987687372721225
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.48228605942873|1.08902882468892|1.00706435459714|0.87792256553199|0.98265947851922
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.719405578384402|0.930429650700322|1.04707059673097|0.859272075453716|0.861046249491391
RU-D4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.478880364218869|0.830606701539206|0.929901797267625|0.881031366957108|0.847234084669157
F4	10|2|0.4|0.08|0.02	0.664759708912746|0.952460551912962|0.864183298508538|0.910397002665898|0.994351178038764
F4	10|2|0.4|0.08|0.02	0.402464154477988|0.763945529216802|0.896404640103754|0.943108293104691|0.961394913178183
F4	10|2|0.4|0.08|0.02	0.710601040297651|0.872606112211465|1.01618940081077|0.855961349795457|1.02713288784407
F4	10|2|0.4|0.08|0.02	0.323506654573052|0.8825574292431|0.95138737204524|0.915387890343002|0.944619884123429
5Z-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0568374239055084|0.250957455271402|0.371981316837197|0.563434489603418|0.939461552157163
5Z-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0195771665385009|0.213030483254477|0.415408684715945|0.555888491974801|0.802512302021736
5Z-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0702210115420259|0.255960571765565|0.340981212614788|0.44603892274425|0.817040635794322
5Z-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0193209581847286|0.23019461372125|0.392330590581033|0.509351568423713|0.726922968912354
AK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.139791240956536|0.708749838920491|0.925520516927155|0.917229064266122|1.03868485484435
AK-F4	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0048599988954548|0.667631302811068|0.87365107417021|0.924003608180998|0.969451961488191
