#Treatment	Dose	Effect
5Z	10|2|0.4|0.08|0.02	0.282334626086837|0.490820232695631|0.535551482253363|0.636673872302737|0.860631432856331
5Z	10|2|0.4|0.08|0.02	0.144589039063374|0.472504068863663|0.534035787738853|0.645608252317483|0.830847122577228
AK	10|2|0.4|0.08|0.02	1.15183767389385|1.10259690560906|1.05486209241066|1.04012949232223|1.02383149155191
AK	10|2|0.4|0.08|0.02	1.14651233929564|1.01741136723631|0.979807074273556|0.973847653323195|1.00750872178347
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.276615077233548|0.43516849815011|0.549696035662472|0.635835161470073|0.802305209311198
5Z-AK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0489656176424817|0.449987700864955|0.491910181173789|0.56701522582718|0.724158011254964
BI	10|2|0.4|0.08|0.02	0.986653457298176|1.00410506528476|1.02386323223086|0.94449524970787|0.969491439313113
BI	10|2|0.4|0.08|0.02	0.969069755626683|0.936894782299446|0.956891733983641|0.999624041050653|1.03551795966062
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.848585235907857|0.937161982499323|0.98859553042371|0.984272809549017|1.03592590875936
5Z-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.884133028563622|0.8338313894913|0.96868466824581|0.888411839181123|1.02733901401957
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.231949489597232|0.455155419079296|0.514823066757745|0.583561136611743|0.930126850569136
AK-BI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0541212070913745|0.342122432824101|0.495185807036472|0.54785656373491|0.926347507995991
CT	10|2|0.4|0.08|0.02	0.979303008790572|1.03126119936176|1.02864069137584|1.02965419794879|1.0319962198944
CT	10|2|0.4|0.08|0.02	0.911073928913014|0.998395281259487|0.952828573580805|0.916492993336879|1.03864792744754
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0572262932822762|0.496945363305472|0.5118860229782|0.576919504471423|0.890688218997574
5Z-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00299704877387267|0.436459469869133|0.468104341881527|0.534301966286917|0.853391061611644
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.01733425033007|1.07747953072525|1.03303698274607|1.00080320881923|1.04396564274276
AK-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.00387046249768|0.982976993087384|0.967821446679485|0.95157152825538|1.0313803645564
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.944180257074633|0.953442056597063|1.00017273789565|0.983173296753544|0.998582533150434
BI-CT	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.89740893156531|0.915500685871056|0.909185591627293|0.69083981100442|0.884199563074735
PD	10|2|0.4|0.08|0.02	0.358961473628231|0.355297406611421|0.389088788979501|0.444898725870704|0.554440180812681
PD	10|2|0.4|0.08|0.02	0.219873294513413|0.280332839749516|0.33611838205339|0.392791887336038|0.552825259131504
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0856633959180547|0.310442349065698|0.330942728915163|0.426187268978109|0.505916075612388
5Z-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00570476439757152|0.270912468638479|0.304099182206447|0.370947580773871|0.474925466512599
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.319019573603416|0.3765074426259|0.351137427968187|0.410466771440213|0.515460447986284
AK-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.258962106900767|0.332582985411077|0.259546298795104|0.302353171516412|0.425118134819213
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.357284871289738|0.340143195704583|0.426037896191067|0.446383410929863|0.597063829110401
BI-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.316157574352927|0.248013506113425|0.378398398534868|0.335217008977566|0.548783563623474
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.301061226658049|0.303584531257436|0.434539613115429|0.511726172755615|0.551877703837083
CT-PD	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.238164539380706|0.173625490688674|0.388048832584273|0.502704252100264|0.490742902929136
PI	10|2|0.4|0.08|0.02	1.05376074006322|1.13316019695842|1.00521778691904|1.03902677136994|1.060059049614
PI	10|2|0.4|0.08|0.02	1.059191788028|1.05295982635812|1.03041102512215|1.02072897364567|1.03410754991493
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.107285271297001|0.499332550876966|0.556368002012729|0.677161026833531|1.00994028986711
5Z-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0136396556377773|0.450128177100572|0.510563771618817|0.590564846376783|0.900388256315119
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.03705326619499|1.13430565576361|1.06594340584829|1.08019708353637|1.10148694063444
AK-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.06005054263449|1.03718925534607|1.04845117171023|1.0029854655299|0.9728109838941
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.860311463178448|0.865382926145233|0.930863217606189|0.972340842104149|0.983571719609057
BI-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.755635282227126|0.873460014075638|0.849558945702962|0.965402505040243|1.00988575450182
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.04911871701011|1.00501934800737|1.0397935000693|1.12744235929806|1.09333169733036
CT-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.887658857024701|1.04847340472669|0.972790089457551|1.07405867342881|1.10407932796633
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.34414775940512|0.352213480422808|0.376654120235464|0.435783558014425|0.600586336305594
PD-PI	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.181819590361419|0.245256353360035|0.291764841291888|0.367069989607969|0.603698411978171
PK	10|2|0.4|0.08|0.02	0.000781957167703747|0.000781957167703747|0.00145017511101422|0.269855788141738|1.06713457719813
PK	10|2|0.4|0.08|0.02	0.000549739584567483|0.000857783317299262|0.00104734869128805|0.00868683326303617|0.956542138013071
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000371280024524023|0.000723018995125728|0.00138252956500393|0.584858858631467|0.939299379937933
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000405476868888077|0.000371280024524023|0.000806068474295576|0.126474586248716|0.826425367219149
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000579213050929196|0.000720238837242392|0.00150091729719044|0.348086897067545|1.10854830322055
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000332417924881104|0.000584249686154667|0.000987180504192369|0.0104258349167255|0.981403483588754
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000700984144845461|0.000856758399255563|0.00145935880447359|0.587137760806583|1.08082736625704
