#Treatment	Dose	Effect
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000709419528632892|0.00243087810510571|0.209219229238007|0.903398640444603|1.00388816472424
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000357190252178799|0.000957468314868168|0.141214174003743|0.869232400628556|0.920593382306432
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000721064353687291|0.00299398459900592|0.193454250948683|1.04032343393836|1.04869927566996
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000574761441344942|0.00134285173114227|0.126045184086946|0.952917894021828|1.04013533019392
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000737771846128977|0.00242884439231225|0.205842489855637|1.05797311692026|1.03104444453655
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00104034119875491|0.00269411067406649|0.166251497303817|0.997198124898971|1.04818727799492
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000705475612035134|0.00276116613717062|0.216188562885442|1.19850962436928|1.00947953653523
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000948420855914782|0.00129882264997197|0.144047841524949|1.12535507381798|1.07901794057186
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000426184701056438|0.00123071704488747|0.108764075238995|0.56519919242348|0.569217505319155
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000569695875901973|0.000948043518676566|0.0955393030358049|0.602316400826711|0.56495565830859
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000596736596736597|0.00227754467754468|0.254816472416472|1.0506790986791|1.04180761460761
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000601709401709402|0.00187972027972028|0.129407303807304|0.851438694638695|0.912534576534576
JN	10|2|0.4|0.08|0.02	0.479115458051495|0.926079560276444|0.952273876839683|0.951426370431334|1.11400063440509
JN	10|2|0.4|0.08|0.02	0.116382715278263|0.838071163594456|0.985586267456856|0.945817151717119|0.934084331786512
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.305622363050512|0.499165034859629|0.529665392512948|0.733198557751425|1.02691060253676
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.138930795074565|0.235905748764741|0.503491251707282|0.626174934121713|0.865201059341363
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.473139716579557|0.799997513128609|0.961523954788678|0.938391906062578|0.988568681170653
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.286798443218509|0.728587001123237|0.906858376819043|0.918219234292299|0.966995071849859
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.455555036441787|0.716459540272846|0.863329284245935|0.990090637264063|0.924658942253784
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.224771070827883|0.667800411138105|0.875158848813306|0.888151747336946|0.968066716501588
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.377512668666401|0.984899797670988|0.93155712886325|0.970779167830883|0.933353192960559
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.115970075745633|0.845050332195754|0.931235315925718|0.932013755328668|0.936649601158527
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.385138772338772|0.508280341880342|0.573100854700855|0.552528360528361|0.591311266511267
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0408565656565657|0.498105982905983|0.545103962703963|0.536331934731935|0.574920901320901
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.239080088130869|0.468445695292053|0.655102858129632|0.895010857144957|1.08419584256466
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0701029867252573|0.389363059743078|0.537088815487322|0.771142651739776|1.00505931932498
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00288767041420353|0.0260366326907033|0.160641210917615|1.12932770431524|1.06339785196458
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00156547700110668|0.00677491904870828|0.0601650890695593|1.02105064132991|1.05107500935452
D1	10|2|0.4|0.08|0.02	0.845837050183313|0.985421852742685|0.902445881885902|1.04119748733157|1.06634285313967
D1	10|2|0.4|0.08|0.02	0.773076150666698|0.949930644746982|1.0159437685356|1.03380332998622|1.02247110197791
5Z-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.200851291856705|0.407304790495734|0.452983073622334|0.893685947595009|0.623838201772814
5Z-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.18677676220865|0.257376746376326|0.482009000066983|0.772828485191703|0.627016845186263
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.739995099180087|1.04748771462874|0.937381260207905|1.03542226510155|1.06011911658107
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.610363286092027|0.804066655251926|0.95289983974934|1.05808906983873|1.01501516896038
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.639069753388826|0.833600583562277|0.994287391472308|1.04871147981811|0.974605113507611
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.446472620699627|0.709131756880704|0.85605391908253|1.01738817034666|0.888223221203338
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.357415147299942|0.77287048175517|1.01188797054974|0.931059714381753|1.02362138343163
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.279595901952074|0.479513543250748|1.00199195651634|1.04183108684304|0.961076326628989
PD-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.512039327093818|0.534940855001373|0.549042804270647|0.519575763217337|0.562913805841327
PD-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.453152377170584|0.536364246939648|0.547298913485342|0.559642832314296|0.581587576899103
PI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.401888704668052|0.465813231207529|0.738126707610396|0.699007542675665|0.953065408775658
PI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.296513555799454|0.413213460056512|0.602472503094132|0.630038997734862|0.895339420404923
PK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0011935136188429|0.00215969131028715|0.319545003379592|1.135258787447|1.07835985247522
PK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000921522419990947|0.00150610051901604|0.233871835311359|1.03342041111267|1.01199399995534
JN-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.225696085598254|0.616933255549051|0.988780403282114|1.02312715372068|1.02703140523321
JN-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.213987432165168|0.338948087193583|0.895476174120595|0.980840664912077|1.01322298628078
60	10|2|0.4|0.08|0.02	1.0539341895412|1.01997362747404|1.01064181059692|0.992910495272584|1.00795276253288
60	10|2|0.4|0.08|0.02	0.871281786771006|1.04273341951524|1.03004784606387|0.915130966999812|0.953368971493069
5Z-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.228364898764728|0.428183104361012|0.49263473267468|0.788261399168415|1.02853696576277
5Z-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.169801593349048|0.438351485753134|0.474256420898358|0.73332101195282|1.02248868108268
AK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.973279586933545|0.955293945753214|0.976696670229074|0.987334404019433|1.00032403376078
AK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.887720534431827|0.889200484990167|0.953809281976535|0.853059526769313|0.895907394686082
BI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.969593093687259|1.11205521554309|0.900942674788123|1.02439107287218|1.03079048245625
BI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.08998259341172|1.10222304224436|1.00923738750659|1.01903557304576|1.03005246253456
CT-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.833338527415404|1.06799967588928|0.905560368738274|1.06081439051602|0.924598133870194
CT-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.845390459925579|1.04869264954282|0.980325232642936|1.00550115620267|1.00552608779661
PD-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.505996620320196|0.554688663691042|0.524697857652818|0.556280914054434|0.579630495189863
PD-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.530907634070049|0.522936109670096|0.583087219365873|0.579835946849656|0.559850636643331
PI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.606053477283707|0.561328040216486|0.768566167461334|0.994445027900887|0.979041777815119
PI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.529334089492883|0.550837026612615|0.650918943897162|0.914902644457981|0.948649765100436
PK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000889268736213339|0.00358369975731483|0.365537375246113|0.986779449372253|1.05310185721379
PK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00123539129821254|0.0021033601844567|0.284938742962729|0.963594562680799|0.958924570575056
JN-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.400628450058247|0.854630024004084|0.986627101767727|0.972630830721843|1.00277838109234
JN-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0807902449206398|0.787762712151257|1.00555958287615|0.940130823670114|0.979067648643388
D1-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.856661479487173|1.00136679347338|1.02768788554865|1.01714682469356|0.990888852743176
D1-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.707974742239259|0.94944806306186|0.938518570669049|0.979226195822904|1.05237756516546
SB	10|2|0.4|0.08|0.02	0.807574218238708|0.827584315534253|0.973838031899974|1.01665056501225|0.74901489039448
SB	10|2|0.4|0.08|0.02	0.571701394299391|0.864024333235685|0.906477851395234|0.961377221249198|0.939008595167011
5Z-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.264801508015183|0.463375673496222|0.565105062842526|0.791959649294017|0.851550903216859
5Z-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.142681041434464|0.207732173216294|0.489637531909211|0.634696676305774|1.0081256131448
AK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.776553452778536|0.970998480679423|0.954699041497756|0.930188269724912|0.956340187779621
AK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.566957227975103|0.972751650598276|1.01274408900278|0.959067963340265|0.990535402970027
BI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.773961998405174|0.949472762151232|0.926841671558976|0.936730126907169|1.02388911298106
BI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.530408863932565|0.930223022741584|0.882085361811233|0.924078016025475|0.960777657522375
CT-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.806599289749889|1.06999545868674|1.00108032483083|1.00467388575635|0.988878013556243
CT-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.494427724012264|0.962905086552918|1.00940700603346|0.998107316027451|1.02285606293527
PD-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.388213580326798|0.578967964183483|0.503994848140308|0.585531039030267|0.590436398258474
PD-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.489063082549924|0.57796963730538|0.587410605066201|0.587435255112574|0.572139901338189
PI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.526998926750738|0.607861550845184|0.762610678830158|0.980882747518111|0.966279849745103
PI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.502260531258385|0.535920311242286|0.790407834719614|0.915012074054199|0.99315803595385
PK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00109928596684379|0.00218516600726266|0.184773883914732|1.02930032794248|1.03075487095958
PK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0013808104217672|0.00183661192021463|0.136787370276715|1.06963205759186|1.03607702375027
JN-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.294384854035853|0.909484934156422|0.977534474786728|1.01847008537958|1.00317305689972
JN-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0547502320672872|0.75502518327139|0.968025892709028|0.907000137652079|0.965625805176424
D1-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.739076873092049|0.979057378991045|0.970217345688622|0.93554762855615|1.02520695560354
D1-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.568869003702525|0.873349262540867|0.958392278169991|0.946601054576714|0.946113702051619
60-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.829947858070483|1.06572221798976|1.03193892502228|0.997581592463781|1.08703255194261
60-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.87516942140707|1.04840181353989|1.00689379027357|0.97997771167267|0.96184231274173
RU	10|2|0.4|0.08|0.02	0.728673858317696|1.05190991640553|1.02245311098992|1.02041331965256|0.951615040225794
RU	10|2|0.4|0.08|0.02	0.463032633580142|1.00996786250204|0.992367729391791|0.989292636106772|0.987222032211448
