#Treatment	Dose	Effect
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00198044312414903|0.00186618679006351|0.00690616063805815|0.986184504936826|1.09441064361228
5Z-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000660147708049676|0.00237399271933249|0.00462103395634773|0.818481596795745|0.97075989983528
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000889378563321763|0.00151327098833852|0.00602653533952358|0.982670392322141|1.0981435881779
AK-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000557520890440508|0.00102212163247426|0.00277433014528729|0.714516118327172|0.980294291384311
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00082564732317822|0.00105557442583545|0.00594675097327097|0.890329997648473|0.970814934810441
BI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000898805946750973|0.00103467196195752|0.00424320016721971|0.743187103179787|0.987286076346249
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000365722375425816|0.000519089823185029|0.00349205881051747|1.01838344811314|1.02628777042073
CT-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000908407190573801|0.000613469791036852|0.0026190441078881|0.846482134167023|0.965164943740691
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000399447431053709|0.000621362670527992|0.00331763283014053|0.80060360945137|0.953481017925203
PD-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000410543193027423|0.000787799100133704|0.00304023878079767|0.735981891716459|0.925286686749996
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000419336338577093|0.000875672942322753|0.00485936815880514|1.02505534622998|0.999771831698127
PI-PK	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000666004773034207|0.00144301034157411|0.00464969998951659|0.855002127515247|1.02108398443522
JN	10|2|0.4|0.08|0.02	0.390402388695304|0.937354874829062|0.972769240653098|1.10806337629599|1.08331982145971
JN	10|2|0.4|0.08|0.02	0.242344886240222|0.800788073655518|0.87696444796603|1.00978667555901|0.922474477855314
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.578291479989458|0.504072386832825|0.67905324849717|0.857083694138022|1.01539851662212
