#Treatment	Dose	Effect
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.481857340278516|0.825757839906453|1.08188370362496|1.10944105453386|1.04801275645796
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.348278515998724|0.858108217285001|0.985795258849793|1.02454427553949|1.1734478579781
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.521859282842097|0.880392126240733|0.981722639549212|0.994686424688901|1.03050787963432
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.441699778904697|0.794589597886171|0.886624143190629|0.944654781213815|0.993160398581361
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.461792111442938|0.845183097684541|1.07129763316944|1.01816963054084|0.960244008280943
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.518063886789056|0.856888821238907|0.993522920781465|0.99869229007304|0.965940266854786
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.091991572289486|0.284913809417672|0.312424144297207|0.2906533998915|0.358165921602106
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0590377102196504|0.249773116276331|0.262009277210276|0.231333083810301|0.317871035843002
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.548707370434938|0.985202342814504|1.00547338390671|1.06147648692751|1.04574843053231
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.519698520234281|0.864150729742268|0.944285058768949|1.04193894857284|0.937396217390606
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00104298488367242|0.00184955986037909|0.00205815683711357|0.273863494138425|1.0134336453017
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000757902348801958|0.00137674004644759|0.00163400965108679|0.0225667162663922|0.919711023654897
D1	10|2|0.4|0.08|0.02	0.910583410131164|0.971299675527385|0.956455416403675|1.02159250373455|0.981183321475577
D1	10|2|0.4|0.08|0.02	0.856088409605893|0.892688305576505|0.954730134273071|0.963599109344453|0.959946977467986
5Z-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0106608592632738|0.300704968320625|0.405271276072799|0.477352696485238|0.411292381335565
5Z-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0102775177646564|0.255199688700266|0.37154383353065|0.430872539777877|0.375007125690572
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.521090080943|0.784961834222587|0.965736961542973|1.00269971805462|1.0742369878363
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.341101326397288|0.661352447908871|0.886682226923559|0.94459227137951|1.04880122648264
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.660409630678723|0.972974543341686|1.01105784943894|1.03411410102771|1.02168355303773
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.608650179758144|0.891778334604351|0.920960888985728|1.02079747249156|0.915905872099357
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.748431582814619|0.939607060529724|0.963172556140786|1.03951578325286|0.98891958743723
CT-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.820299505208767|0.924911506636235|1.00798522728568|0.997733412481225|0.93511071205921
PD-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.138729864346358|0.133258556322452|0.156754085434586|0.242991968874995|0.388296287247373
PD-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0771165688457502|0.058089151225399|0.0759578953603086|0.156517168172387|0.353232532441932
PI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.570057130753325|0.874185081775811|0.88496724099202|0.996092492204202|1.02941264392654
PI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.27856644428748|0.804165958475363|0.844711796744683|0.91748453865358|0.965344889876608
PK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00118968051295058|0.00173825541614446|0.00228683031933834|0.797981508729694|1.01428855866075
PK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000839385695248466|0.00143422595172376|0.00354260419411951|0.478866234471158|0.88959021289498
JN-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.477723078665593|0.9095226345106|1.09474416591495|1.06940872372184|0.971008571625049
JN-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.309157764015355|0.844671151364624|1.05357447686389|0.973765730489339|0.988600021843688
60	10|2|0.4|0.08|0.02	0.942673493844645|1.0190471002651|0.986174964593093|1.0575480262919|1.05051022260958
60	10|2|0.4|0.08|0.02	0.875698151577877|0.978269237752842|0.989784653375459|0.959193085666558|0.992388422849257
5Z-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00267255657919772|0.302244403896251|0.382042313725525|0.492430825239526|0.760205562389904
5Z-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00203422941723711|0.28694208846969|0.334690363101183|0.467066088781839|0.695496023169172
AK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.526915096627076|0.727428540756247|0.965771008360588|1.04645244163599|1.03625759569699
AK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.328200742957727|0.654050822454574|0.823939008612313|0.924647354207965|0.987534079992892
BI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.80339214928176|0.8713574970153|0.846953056290814|0.963598125480632|1.06770447853777
BI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.739349186589454|0.795778507607269|0.799578530550162|0.893742963117174|0.940532869943535
CT-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.765979795435891|1.0038921082112|1.04998928883221|1.03085200237412|1.04313107014164
CT-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.686055288053631|0.930288341565704|0.910389372064507|0.924317729324567|0.935104144031806
PD-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.19103639176097|0.214608683671616|0.231705484127531|0.304595469661007|0.38871736421195
PD-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.171559816882621|0.173685957452138|0.157588035997219|0.280274801320149|0.310579349820578
PI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.930880044209442|0.96127068654417|1.00659876163324|1.03994004931697|1.05698747817787
PI-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.775249410750095|0.928170541272612|0.954786635016725|0.987397797063589|0.93274554870365
PK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00090561002945825|0.00680244480142685|0.00176974173695658|1.00196417137114|1.05792879727557
PK-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00129965408807749|0.00145174126859719|0.00193565502479626|0.789387771326554|0.899056454588583
JN-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.598842166182562|1.03306453526902|1.0482102138396|1.03503259716621|1.05278531876943
JN-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.334176179878667|0.958365814874385|0.962254471498703|1.00259791473071|1.03527358433729
D1-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.800557427336882|0.873369673743558|1.06487655448725|0.951008425140313|1.01165244065651
D1-60	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.710223608237349|0.881880637472543|0.863312189049442|0.914745057718372|0.973013209158463
SB	10|2|0.4|0.08|0.02	0.499799213592971|0.751621455812786|0.924594146557953|0.919741488460732|1.01704649721778
SB	10|2|0.4|0.08|0.02	0.460154839720235|0.649666494929663|0.838634529580099|0.914762906957191|0.968169787749956
5Z-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.0242736991088371|0.307933416416686|0.420850581479092|0.48290633082622|0.732597899535944
5Z-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00220442262288717|0.166906731630333|0.370443201673357|0.415777904420744|0.559541329792897
AK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.349653148457484|0.762572688109921|0.960932417327087|0.967871960077534|1.01419139841667
AK-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.251591916705392|0.622187613820474|0.886992125193102|0.913119235712521|0.944146226079384
BI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.521337572187403|0.816957029322581|0.933977745152005|0.900795087584069|0.98819682500728
BI-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.469983953074192|0.655340204332584|0.893010989162924|0.844108047572179|0.906152704170559
CT-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.511287145342649|0.881750151073397|1.05953661088057|1.01656421669128|0.950723600494389
CT-SB	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.461811748854855|0.695404995371951|0.912870358030259|0.953717683529075|0.928779162642607
