#Treatment	Dose	Effect
JN	10|2|0.4|0.08|0.02	0.8272547651044|0.992641824577487|1.05377128193375|1.07304352053448|1.02378298417593
JN	10|2|0.4|0.08|0.02	0.672771278461277|0.909010726476583|0.948464992239017|1.02373436952|0.938262859444612
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.423683473032534|0.812616239076711|0.851727162547269|0.95807568142031|1.09895653249963
5Z-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.580898757811448|0.686635827294664|0.754710526028454|0.895300210731665|0.97744552459082
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.916585052593182|0.95995929258607|1.04231823817822|1.01585228848927|1.04746184063109
AK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.72426704431376|0.865455559795911|0.933799874628522|0.886361023877289|1.08397590047528
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.843930675481973|0.969898564540797|1.04910600999952|1.05575863984582|1.10305403718614
BI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.715185142002784|0.940784735986612|0.981701838732022|0.919887248211677|1.08917953184689
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.750460617227084|0.972446133374277|0.913615077537233|0.991900813757101|0.922110906392343
CT-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.542677465581657|0.933056962997083|0.834721582476074|0.827486053533958|0.915323199754338
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.774864976536906|0.952741787917245|0.959338016114276|0.984719475843343|0.968597821916595
PD-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.628213263288375|0.841956143198654|0.895869610128973|0.847821916595343|0.975621993329988
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.284965223158633|0.575291948371235|0.897475163119533|0.985071828154136|1.04597904708329
PI-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.185138499682269|0.320266408314495|0.772181304886815|0.885300664284549|1.05395879560662
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.00157229843097719|0.00168148582201727|0.0025913807473513|0.897105442263527|0.996138405936882
PK-JN	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.000844382490709973|0.00200904799513752|0.00219102698020433|0.774473443806709|0.843465316625236
D1	10|2|0.4|0.08|0.02	0.920213771048213|1.04498960736148|1.09478870678498|1.09083130412461|1.10629013109342
D1	10|2|0.4|0.08|0.02	0.949334550264362|0.953163604730344|1.12099312980637|1.09634314602816|1.00362583649153
5Z-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.507150615496017|0.895991733043688|0.905088402124065|1.03867215785663|1.00649438812455
5Z-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.456885107410089|0.785104392951967|0.901829893796766|1.01140477914555|0.994863323678494
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.984484698309622|0.989155665684055|0.983309836088919|1.00106805656428|1.0137138462853
AK-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	0.884956067273323|0.969090443029863|1.08641289642699|1.03785904501502|0.929152247903049
BI-D1	10-10|2-2|0.4-0.4|0.08-0.08|0.02-0.02	1.04275347792968|1.02925870985848|0.978150182415908|1.07894800144329|1.03169626748988
